原因枚举(ENetCloseResult),触发点(路径:行 · 符号),条件/说明,断连方式,置信度
枚举定义,Engine/Source/Runtime/Net/Core/Public/Net/Core/Connection/NetCloseResult.h:23 · enum class ENetCloseResult : uint32,5.8 起原因不再是字符串字面量而是枚举 字符串=LexToString(NetCloseResult.cpp:20-37);经 NMT_CloseReason 下发(NetConnection.cpp:1241-1284 SendCloseReason),—,Verified-Src
ConnectionTimeout,Engine/Source/Runtime/Engine/Private/NetConnection.cpp:4923-4961 · UNetConnection::Tick → :5205 HandleConnectionTimeout,CurrentRealtimeSeconds - LastReceiveRealtime > Timeout(默认60s BaseEngine.ini:1855 InitialConnectTimeout=60 :1856);BroadcastNetworkFailure(ConnectionTimeout),Close(ConnectionTimeout),Verified-Src
RPCDoS,NetConnection.cpp:642 · UNetConnection::InitBase(lambda),RPC 洪水检测(NetCore RPCDoSDetection)触发踢人,Close(RPCDoS),Verified-Src
OutdatedClient,NetConnection.cpp:1372 · HandleNetNetUpgrade? 实际符号 UNetConnection::HandleReceiveNetUpgrade,版本不兼容(NMT_Upgrade 路径),Close(OutdatedClient),Verified-Src
Cleanup,NetConnection.cpp:1412 · UNetConnection::CleanUp,连接对象销毁清理,Close(Cleanup),Verified-Src
MissingLevelPackage,NetConnection.cpp:1976 · UpdateLevelVisibilityInternal,客户端缺流送 Level 包(net.SkipMissingLevelDisconnect 可抑制 :1968),Close(MissingLevelPackage+详情),Verified-Src
PacketHandlerIncomingError,NetConnection.cpp:2201 · ReceivedRawPacket,包过 PacketHandler 链失败(:2182);先给 FaultRecovery 机会(:2192),Close(链式扩展错误),Verified-Src
ZeroLastByte,NetConnection.cpp:2272 · ReceivedRawPacket,包尾字节为0(填充异常),HandleNetResultOrClose,Verified-Src
ZeroSize,NetConnection.cpp:2280 · ReceivedRawPacket,零尺寸包,HandleNetResultOrClose,Verified-Src
PrematureSend,NetConnection.cpp:2432 · FlushNet,握手完成前发数据,Close(PrematureSend),Verified-Src
ReadHeaderFail,NetConnection.cpp:3311 · ReceivedPacket,包头读取失败(PacketNotify.ReadHeader :3307),HandleNetResultOrClose,Verified-Src
AckSequenceMismatch,NetConnection.cpp:3420/3429 · ReceivedPacket(HandlePacketNotification),ack 序列不匹配/找不到包记录,Close(AckSequenceMismatch),Verified-Src
