ID,Chapter,Claim,File,StartLine,EndLine,Symbol,Confidence,ChangesWave1
EV-0001,S0,版本=UE5.8.2 BranchName UE5 CCL 55116800,Engine/Build/Build.version,1,10,FEngineBuildVersion,Verified-Src,N
EV-0002,S0,git commit ff8421f2b8cb 分支5.8 日期2026-08-25,,0,0,git rev-parse HEAD,Verified-Src,N
EV-0003,S0,uplugin 无成熟度字段 IsBetaVersion=false 两模块两插件依赖,Engine/Plugins/Runtime/GameplayAbilities/GameplayAbilities.uplugin,1,47,FGameplayAbilitiesPluginDescriptor,Verified-Src,Y
EV-0004,S0,Build.cs 依赖含 GameplayTags/GameplayTasks/NetCore/DataRegistry 并调用 SetupIrisSupport,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/GameplayAbilities.Build.cs,11,42,GameplayAbilitiesModuleRules,Verified-Src,N
EV-0005,S0,GameplayAbilities Public 共 272 个 UHT 类型,appendix/symbol-map.csv,1,198,symbol-map extraction,Verified-Src,N
EV-0006,S1,SpecHandle 计数器=static int32 GHandle=1 单调递增无回绕,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Private/GameplayAbilitySpecHandle.cpp,9,14,FGameplayAbilitySpecHandle::GenerateNewHandle,Verified-Src,Y
EV-0007,S1,ActiveGEHandle 匿名命名空间 int32 计数器 溢出回绕到1 进程级共享,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Private/ActiveGameplayEffectHandle.cpp,8,28,GetNextActiveGEHandleID,Verified-Src,Y
EV-0008,S1,5.8 删除全局 handle TMap 改内嵌 WeakOwningASC,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/ActiveGameplayEffectHandle.h,60,70,FActiveGameplayEffectHandle deprecated map API,Verified-Src,Y
EV-0009,S1,句柄防悬空=WeakPtr+容器反查 非代数位,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Private/ActiveGameplayEffectHandle.cpp,43,55,FActiveGameplayEffectHandle::GetOwningAbilitySystemComponent,Verified-Src,Y
EV-0010,S1,InstantExecutedHandle 哨兵 IsValid=false 但 WasSuccessfullyApplied=true,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/ActiveGameplayEffectHandle.h,40,60,FActiveGameplayEffectHandle::GetInstantExecutedHandle,Verified-Src,N
EV-0011,S1,PredictionKey=int16 Current+int16 Base+bool+FObjectKey,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayPrediction.h,295,414,FPredictionKey,Verified-Src,N
EV-0012,S1,operator==与GetTypeHash忽略Base,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayPrediction.h,370,390,FPredictionKey::operator==,Verified-Src,N
EV-0013,S1,客户端生成键仅当非权威 服务器键独立计数器,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Private/GameplayPrediction.cpp,223,252,FPredictionKey::CreateNewPredictionKey,Verified-Src,N
EV-0014,S1,身份实为四层:类型/Spec/实例/句柄,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayAbilitySpec.h,167,297,FGameplayAbilitySpec,Verified-Src,Y
EV-0015,S1,Spec.ActiveCount 等七个字段 NotReplicated 注释直言预测无法复制,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayAbilitySpec.h,213,269,FGameplayAbilitySpec fields,Verified-Src,N
EV-0016,S1,NonInstanced 已弃用 状态存 Spec->ActivationInfo,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayAbilitySpec.h,236,239,FGameplayAbilitySpec::ActivationInfo deprecation,Verified-Src,N
EV-0017,S1,InstancedPerExecution 预测要求 ReplicateNo 否则 Error 不激活,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Private/AbilitySystemComponent_Abilities.cpp,1947,1962,UAbilitySystemComponent::InternalTryActivateAbility,Verified-Src,N
EV-0018,S1,KeyRingBufferSize=32 构造全槽标脏 键按 Current%32 入槽,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Private/GameplayPrediction.cpp,686,707,FReplicatedPredictionKeyMap,Verified-Src,Y
EV-0019,S2,TryActivateAbility 失败出口7个(含转发客户端RPC),Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Private/AbilitySystemComponent_Abilities.cpp,1604,1683,UAbilitySystemComponent::TryActivateAbility,Verified-Src,N
EV-0020,S2,InternalTryActivateAbility 失败出口至16个 含NetMode解析优先PC,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Private/AbilitySystemComponent_Abilities.cpp,1704,1994,UAbilitySystemComponent::InternalTryActivateAbility,Verified-Src,N
EV-0021,S2,CanActivateAbility 顺序:角色安全/ASC/Spec/抑制/冷却/消耗/Tag/输入/蓝图,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Private/Abilities/GameplayAbility.cpp,457,575,UGameplayAbility::CanActivateAbility,Verified-Src,Y
EV-0022,S2,Tag检查先全部阻塞后全部必需且失败tag有序,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Private/Abilities/GameplayAbility.cpp,349,443,UGameplayAbility::DoesAbilitySatisfyTagRequirements,Verified-Src,N
EV-0023,S2,冷却=GE授予tag CheckCooldown查拥有tag,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Private/Abilities/GameplayAbility.cpp,1064,1104,UGameplayAbility::CheckCooldown,Verified-Src,N
EV-0024,S2,Commit=Check+Execute(先冷却后消耗)+K2+Notify 无自动End回退,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Private/Abilities/GameplayAbility.cpp,592,689,UGameplayAbility::CommitAbility/CommitCheck/CommitExecute,Verified-Src,N
EV-0025,S2,PreActivate顺序:FlushMoves/置位/SetInfo/AddLooseTags/BlockAndCancel/ActiveCount++,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Private/Abilities/GameplayAbility.cpp,940,1018,UGameplayAbility::PreActivate,Verified-Src,Y
EV-0026,S2,NetSecurityPolicy 作用点=ShouldActivateAbility+服务器入口+终止RPC三处,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Private/Abilities/GameplayAbility.cpp,445,449,UGameplayAbility::ShouldActivateAbility,Verified-Src,N
EV-0027,S2,Block先于Cancel 且ActiveCount++必须在后(防自取消),Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Private/AbilitySystemComponent_Abilities.cpp,1431,1462,UAbilitySystemComponent::ApplyAbilityBlockAndCancelTags,Verified-Src,Y
EV-0028,S2,RPC批处理打包恰3调用共享1键 FakeInfo自认bogus,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Private/AbilitySystemComponent_Abilities.cpp,4184,4252,UAbilitySystemComponent::ServerAbilityRPCBatch_Internal,Verified-Src,N
EV-0029,S2,服务器激活真校验=重跑InternalTryActivateAbility Validate恒true,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Private/AbilitySystemComponent_Abilities.cpp,2016,2125,UAbilitySystemComponent::InternalServerTryActivateAbility,Verified-Src,N
EV-0030,S2,拒绝=BroadcastRejectedDelegate+SetActivationRejected+K2_EndAbility,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Private/AbilitySystemComponent_Abilities.cpp,2279,2333,UAbilitySystemComponent::ClientActivateAbilityFailed_Implementation,Verified-Src,N
EV-0031,S2,确认后找不到同键实例仅日志不重建 Epic Fixme自认对账缺失,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Private/AbilitySystemComponent_Abilities.cpp,2362,2471,UAbilitySystemComponent::ClientActivateAbilitySucceedWithEventData_Implementation,Verified-Src,Y
EV-0032,S2,预测激活前FlushServerMoves两次(ASC与PreActivate),Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Private/AbilitySystemComponent_Abilities.cpp,1996,2014,UAbilitySystemComponent::PrePredictionActivation,Verified-Src,N
EV-0033,S3,GE应用入口控制流14步(权限门/周期禁预测/免疫查询/组件CanApply),Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Private/AbilitySystemComponent.cpp,996,1179,UAbilitySystemComponent::ApplyGameplayEffectSpecToSelf,Verified-Src,N
EV-0034,S3,HasNetworkAuthorityToApplyGE=权威或键可预测,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Private/AbilitySystemComponent.cpp,455,458,UAbilitySystemComponent::HasNetworkAuthorityToApplyGameplayEffect,Verified-Src,N
EV-0035,S3,预测Instant改造为INFINITE_DURATION走容器,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Private/AbilitySystemComponent.cpp,1066,1117,UAbilitySystemComponent::ApplyGameplayEffectSpecToSelf,Verified-Src,N
EV-0036,S3,容器应用12步时序(堆叠在最先/时长timer/预测注册/堆叠OnStackCountChange),Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Private/GameplayEffect.cpp,4171,4561,FActiveGameplayEffectsContainer::ApplyGameplayEffectSpec,Verified-Src,Y
EV-0037,S3,通道内公式=((Base+Add)*Mult/Div*Compound)+Final Override首个命中短路,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Private/GameplayEffectAggregator.cpp,76,99,FAggregatorModChannel::EvaluateWithBase,Verified-Src,Y
EV-0038,S3,SumMods按bias聚合 乘法mod=(1+Sum(m-1)),Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Private/GameplayEffectAggregator.cpp,216,229,FAggregatorModChannel::SumMods,Verified-Src,Y
EV-0039,S3,StaticExecModOnBaseValue 的 switch 覆盖9种op,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Private/GameplayEffectAggregator.cpp,447,479,FAggregator::StaticExecModOnBaseValue,Verified-Src,Y
EV-0040,S3,通道Map插入即KeySort升序求值按序链接,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Private/GameplayEffectAggregator.cpp,231,261,FAggregatorModChannelContainer::FindOrAddModChannel/EvaluateWithBase,Verified-Src,Y
EV-0041,S3,ReverseEvaluate遇Override放弃返回FinalValue,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Private/GameplayEffectAggregator.cpp,101,133,FAggregatorModChannel::ReverseEvaluate,Verified-Src,N
EV-0042,S3,ExecuteActiveEffectsFrom顺序:目标tag/求值/Modifiers/Executions/条件GE/cue/OnExecuted,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Private/GameplayEffect.cpp,3210,3370,FActiveGameplayEffectsContainer::ExecuteActiveEffectsFrom,Verified-Src,N
EV-0043,S3,InternalExecuteMod:Pre钩子可否决/改Base/累计/Post钩子,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Private/GameplayEffect.cpp,4090,4169,FActiveGameplayEffectsContainer::InternalExecuteMod,Verified-Src,N
EV-0044,S3,PredictivelyExecuteEffectSpec在预测路径执行Executions,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Private/GameplayEffect.cpp,3069,3207,FActiveGameplayEffectsContainer::PredictivelyExecuteEffectSpec,Verified-Src,Y
EV-0045,S3,时长timer与period timer均走FTimerManager 无漂移补偿,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Private/GameplayEffect.cpp,4427,4508,FActiveGameplayEffectsContainer::ApplyGameplayEffectSpec,Verified-Src,N
EV-0046,S3,世界时间=World->GetTimeSeconds 服务器钟=GameState->GetServerWorldTimeSeconds,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Private/GameplayEffect.cpp,5334,5367,FActiveGameplayEffectsContainer::GetServerWorldTime/GetWorldTime,Verified-Src,N
EV-0047,S4,堆叠聚合键=Def指针相等+按类型附加同源ASC,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Private/GameplayEffect.cpp,3675,3699,FActiveGameplayEffectsContainer::FindStackableActiveGameplayEffect,Verified-Src,N
EV-0048,S4,溢出=OverflowEffects递归应用+拒绝返回nullptr不可区分,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Private/GameplayEffect.cpp,3701,3731,FActiveGameplayEffectsContainer::HandleActiveGameplayEffectStackOverflow,Verified-Src,Y
EV-0049,S4,堆叠=Spec整体替换但GrantedAbilitySpecs保留,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Private/GameplayEffect.cpp,4276,4288,FActiveGameplayEffectsContainer::ApplyGameplayEffectSpec,Verified-Src,N
EV-0050,S4,CheckDuration二次确认+三种到期策略+最后周期执行,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Private/GameplayEffect.cpp,5369,5495,FActiveGameplayEffectsContainer::CheckDuration,Verified-Src,N
EV-0051,S4,内部移除:部分堆叠只减计数/FlushNetDormancy先行/predicted cue抑制,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Private/GameplayEffect.cpp,4797,4918,FActiveGameplayEffectsContainer::InternalRemoveActiveGameplayEffect,Verified-Src,N
EV-0052,S4,抑制=SetActiveGameplayEffectInhibit物理摘除/挂回mods与tags,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Private/AbilitySystemComponent.cpp,362,406,UAbilitySystemComponent::SetActiveGameplayEffectInhibit,Verified-Src,Y
EV-0053,S4,bIsInhibited NotReplicated Epic注释不确定该不该复制,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayEffect.h,1440,1446,FActiveGameplayEffect::bIsInhibited,Verified-Src,Y
EV-0054,S4,客户端堆叠收敛=差值回退(ClientCachedStackCount),Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Private/GameplayEffect.cpp,3593,3614,FActiveGameplayEffectsContainer::OnPredictiveGameplayEffectStackCaughtUp,Verified-Src,N
EV-0055,S4,旧抑制函数CheckOngoingTagRequirements/InhibitActiveGameplayEffect不存在,appendix/search-log.md,0,0,grep 全模块,Verified-Src,Y
EV-0056,S5,FGameplayAttributeData={BaseValue,CurrentValue}双float复制属性,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/AttributeSet.h,19,54,FGameplayAttributeData,Verified-Src,N
EV-0057,S5,钩子分工注释:Execute仅execute期/PreAttributeChange任何修改/Base钩子仅base,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/AttributeSet.h,196,237,UAttributeSet hooks,Verified-Src,N
EV-0058,S5,OnAttributeAggregatorDirty客户端网络路径:NetUpdateID去重+ReverseEvaluate反推base,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Private/GameplayEffect.cpp,3452,3511,FActiveGameplayEffectsContainer::OnAttributeAggregatorDirty,Verified-Src,N
EV-0059,S5,SetBaseAttributeValueFromReplication回绕-求值-再设三步,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Private/GameplayEffect.cpp,3743,3772,FActiveGameplayEffectsContainer::SetBaseAttributeValueFromReplication,Verified-Src,N
EV-0060,S5,广播式脏通知含MAX_BROADCAST_DIRTY=10循环防护与非Shipping全量扫描,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Private/GameplayEffectAggregator.cpp,585,651,FAggregator::BroadcastOnDirty,Verified-Src,N
EV-0061,S5,全局OnDirty批量器静态集与NetUpdateID,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayEffectAggregator.h,397,413,FScopedAggregatorOnDirtyBatch,Verified-Src,N
EV-0062,S5,FGameplayAttribute指针哈希带FIXME,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/AttributeSet.h,131,135,GetTypeHash(FGameplayAttribute),Verified-Src,N
EV-0063,S6,Tag两段变长位布局[N][more][Max-N],Engine/Source/Runtime/GameplayTags/Private/GameplayTagContainer.cpp,69,126,SerializeTagNetIndexPacked,Verified-Src,Y
EV-0064,S6,容器NetSerialize:1bit空标志+定长计数+逐tag packed,Engine/Source/Runtime/GameplayTags/Private/GameplayTagContainer.cpp,1066,1123,FGameplayTagContainer::NetSerialize,Verified-Src,N
EV-0065,S6,ConstructNetIndex:名字排序+常用前置+逐项赋号+CRC32累计,Engine/Source/Runtime/GameplayTags/Private/GameplayTagsManager.cpp,767,837,UGameplayTagsManager::ConstructNetIndex,Verified-Src,Y
EV-0066,S6,表哈希GetNetworkGameplayTagNodeIndexHash全引擎0调用者,Engine/Source/Runtime/GameplayTags/Classes/GameplayTagsManager.h,634,634,UGameplayTagsManager::GetNetworkGameplayTagNodeIndexHash,Verified-Src,Y
