ID,TargetState,TargetMachine,UEProxy,UEProxyKind,UECarrier,Coordinate,GapNotes
X01,Requested,Ability,Spec in ActivatableAbilities (not yet activated),Implicit,FGameplayAbilitySpec present + ActiveCount==0,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayAbilitySpec.h:213-215,GAS has no explicit request state; grant==requestable
X02,Activated,Ability,CallActivateAbility entered (PreActivate done),Implicit,Instance bIsActive=true + Spec ActiveCount>0,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Private/Abilities/GameplayAbility.cpp:963-1017,Activated and Executing are one continuum in GAS
X03,Executing,Ability,(no direct equivalent; ability is active while instance alive),MISSING,bIsActive + ActiveTasks non-empty,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Private/Abilities/GameplayAbility.cpp:845-860,Target-only state; GAS cannot express "executing but not completable yet"
X04,Completed,Ability,EndAbility(bWasCancelled=false) + NotifyAbilityEnded,Event-driven,bIsActive=false; OnGameplayAbilityEnded broadcast,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Private/Abilities/GameplayAbility.cpp:802-902,Terminal event not a state
X05,Rejected,Ability,EGameplayAbilityActivationMode::Rejected,Explicit field,ActivationInfo.ActivationMode (set by ClientActivateAbilityFailed),Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayAbilitySpec.h:42-43 + Private/AbilitySystemComponent_Abilities.cpp:2316-2332,Matches well
X06,Cancelled,Ability,EndAbility(bWasCancelled=true) / CancelAbility,Event-driven,bWasCancelled flag through OnGameplayAbilityEndedWithData,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Private/Abilities/GameplayAbility.cpp:741-769,Event not state; any non-terminal state can be cancelled in target too
X07,Expired,Ability,(no equivalent: no execution timeout exists),MISSING,--,--,Target-only; only GE durations expire not abilities
X08,RolledBack,Ability,Predicting->Rejected + RejectedDelegates run undo callbacks,Process (not state),FPredictionKeyDelegates broadcast,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Private/GameplayPrediction.cpp:299-338 + Private/AbilitySystemComponent_Abilities.cpp:2279-2333,RolledBack is a terminal state in target; in GAS it is a transient process
X09,Pending,Effect,(spec created not yet applied),Implicit,FGameplayEffectSpec exists outside container,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayEffect.h:1013,Momentary in GAS
X10,Active,Effect,FActiveGameplayEffect in container && !bIsInhibited,Explicit field,bIsInhibited=false,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayEffect.h:1441-1442,Stack/duration refresh are events within Active (matches target)
X11,Active(inhibited),Effect,FActiveGameplayEffect in container && bIsInhibited,Implicit (not replicated),bIsInhibited=true; mods/tags removed from aggregators,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Private/AbilitySystemComponent.cpp:362-406,Target must decide: replicate or derive deterministically
X12,Expired,Effect,CheckDuration timer fired + expiration policy removes,Event-driven,DurationHandle timer -> InternalRemoveActiveGameplayEffect(bPrematureRemoval=false),Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Private/GameplayEffect.cpp:5369-5495,RefreshDuration policy can loop forever without expiring
X13,Removed,Effect,InternalRemoveActiveGameplayEffect (any cause incl. premature),Event-driven,IsPendingRemove=true then array removal,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Private/GameplayEffect.cpp:4797-4918,GAS distinguishes premature vs expired via bPrematureRemoval only
X14,Rejected,Effect,application vetoed (immunity/chance/custom/stack-limit/authority),Implicit,invalid FActiveGameplayEffectHandle returned,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Private/AbilitySystemComponent.cpp:996-1050 + Private/GameplayEffect.cpp:4245-4252,Not distinguishable from other failure causes by return value
X15,RolledBack,Effect,predicted GE removed on key reject/caught-up,Process,NewRejectedDelegate -> RemoveActiveGameplayEffect_AllowClientRemoval,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Private/GameplayEffect.cpp:4519-4544,Same note as X08
X16,Blocked(implicit),Ability,granted but CanActivateAbility fails on tags/input,Implicit,BlockedAbilityTags counts + BlockedAbilityBindings counts,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Private/AbilitySystemComponent_Abilities.cpp:1431-1480,Check-time failure not a stored state
X17,Waiting target data(implicit),Ability,AbilityTask_WaitTargetData pending,Implicit,ASC AbilityTargetDataMap entry + task WaitStateBitMask WaitingOnUser,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Private/Abilities/Tasks/AbilityTask.cpp:224-251,Not serializable as state (TMap of TSharedPtr)
X18,Waiting anim(implicit),Ability,m montage section wait / latent actions,Implicit,FGameplayAbilityLocalAnimMontage + ActiveTasks,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/Abilities/GameplayAbilityTypes.h:186,Same
X19,PendingRemove(implicit),Effect,removal deferred by scope lock,Implicit,IsPendingRemove=true,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayEffect.h:1448,Transient within one call scope
X20,ServerActivatedPending(implicit),Ability,ClientActivateAbilitySucceed before spec exists,Implicit,PendingServerActivatedAbilities entry,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/AbilitySystemComponent.h:306-329,Late-join/race niche state
