ID,Wave1Section,Wave1Claim,Wave1Confidence,Verdict,NewConclusion,Evidence,Impact
C01,1.1,FGameplayAbilitySpecHandle 计数器/回绕/回收未核实,Reported,证实+细化,static int32 GHandle=1 单调递增 无回绕无回收 进程级全局,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Private/GameplayAbilitySpecHandle.cpp:9-14,句柄层设计
C02,1.2,FActiveGameplayEffectHandle 分配与回收未核实,Reported,证实,匿名命名空间 int32 前置自增 溢出回绕到1 全进程共享号空间;5.8 内嵌 WeakOwningASC 删除全局 TMap,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Private/ActiveGameplayEffectHandle.cpp:8-28 + Public/ActiveGameplayEffectHandle.h:66-70,多世界句柄命名空间
C03,1.3,句柄复用与 ABA 是否有防护无一手证据,Reported,修正,无 generation 位;防线=WeakPtr 所有权+容器反查;PredictionKey int16 回绕由 32 槽 ring+stale 清扫兜底,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Private/ActiveGameplayEffectHandle.cpp:43-55 + Private/GameplayPrediction.cpp:189-197/594-684,ABA 结论成立但防线形态为弱引用反查
C04,1.4,类型ID/实例ID/句柄三层区分,Reported,修正,实为四层:类型(Def/CDO)->Spec->运行实例->句柄,docs/research/2026-08-29-ue-gas-source-analysis/report/S01-handles.md 1.2 表 (源:GameplayAbilitySpec.h:167-297),Spec 是独立身份层 快照必须包含
C05,1.5,KeyRingBufferSize=32 来自 API 文档,Reported,证实(升级Verified-Src),=32;FastArray 固定32槽 Current%32 入槽 构造全槽标脏;溢出走 stale 清扫,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Private/GameplayPrediction.cpp:686-695/702-707,预测窗口量化
C06,3.1,Modifier 求值顺序为推断,Reported,修正(重要),通道间升序串行;通道内为固定公式 ((Base+Add)*Mult/Div*Compound)+FinalAdd;Override 首个符合者短路;op 共9种非4种;乘法mod=(1+Sum(m-1))加性聚合,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Private/GameplayEffectAggregator.cpp:76-99/447-479/216-229,推翻逐mod顺序应用的说法
C07,3.2,不同应用顺序结果是否相同未确证,Reported,修正,多数可交换;例外:Override先加者赢且RemoveAllSwap换赢家;Division和≈0强制1;float求和按数组序,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Private/GameplayEffectAggregator.cpp:78-84/92-96/150-162/216-229,确定性/哈希设计输入
C08,3.3,聚合通道遍历顺序,Reported,证实,TMap插入即KeySort保升序 迭代即升序,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Private/GameplayEffectAggregator.cpp:231-243/250-261,通道序确定
C09,3.4,同优先级 tie-break,Reported,修正,无优先级与稳定排序 tie-break=插入序(RemoveAllSwap破坏),Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Private/GameplayEffectAggregator.cpp:137-162,哈希可行性
C10,3.5,快照x来源/目标四象限,Reported,证实,Source快照=Spec创建时;Target捕获=应用时;非快照=聚合器回调,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Private/GameplayEffect.cpp:1838-1859/4387/2474-2486,capture时机表
C11,4.1,堆叠/时长刷新/取消顺序证据缺口,Reported,证实(钉死),12步结构固定:堆叠合并->溢出->Spec替换->时长策略->周期策略->(锁外)取消,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Private/GameplayEffect.cpp:4171-4561,冻结语义映射
C12,4.2,堆叠被拒返回值,Reported,证实,nullptr->无效handle 与免疫/无权限同值 调用方不可区分;仅instant成功有哨兵,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Private/GameplayEffect.cpp:4245-4252 + Public/ActiveGameplayEffectHandle.h:40-48,API设计教训
C13,4.3,InhibitActiveGameplayEffect/bIsInhibited 维护点,Reported,源码中不存在(旧形态),5.8 无 CheckOngoingTagRequirements/InhibitActiveGameplayEffect;现为 SetActiveGameplayEffectInhibit+组件tag事件;抑制=mods/tags物理摘除,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Private/AbilitySystemComponent.cpp:362-406 + Public/GameplayEffect.h:2360-2361,章节需按新形态重写
C14,4.4,抑制态复制与否,Reported,证实,bIsInhibited NotReplicated(Epic自述不确定该不该复制);客户端独立重算;cue靠pending标志,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayEffect.h:1440-1446 + Private/GameplayEffect.cpp:2883-2885/5271-5309,Effect六态映射关键输入
C15,6.1,Tag内部表示,Reported,证实,FName+节点树;网络身份uint16 NetIndex,Engine/Source/Runtime/GameplayTags/Private/GameplayTagContainer.cpp:1066-1123,--
C16,6.2,NetIndex位布局分段编码,Reported,证实(细化),两段变长[N][more][Max-N];N可配 Max=ceil(log2(n+1)),Engine/Source/Runtime/GameplayTags/Private/GameplayTagContainer.cpp:69-126 + Private/GameplayTagsManager.cpp:810-814,可照抄
C17,6.3,NetIndex表构建时机排序,Reported,证实,启动/树变更;名字排序+常用前置;两端一致靠配置,Engine/Source/Runtime/GameplayTags/Private/GameplayTagsManager.cpp:767-837,隐含契约
C18,6.4,表不一致时的行为,Reported,证伪(重要),无任何运行时校验;CRC32哈希只算不用(全引擎0消费者);越界=ensure+静默NAME_None;界内错位=静默错认,Engine/Source/Runtime/GameplayTags/Private/GameplayTagsManager.cpp:818-836/843-848,静默数据损坏是硬教训
C19,6.5,MatchesTag实现与代价,Reported,证实,节点树父链比对,Engine/Source/Runtime/GameplayTags/Private/GameplayTagContainer.cpp:129-164区域,--
C20,6.6,CountContainer为count的原因,Reported,证实,TMap计数+父聚合;加减点=Loose API/GE授予/堆叠,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayEffectTypes.h:1059-1101 + Private/GameplayEffect.cpp:4663-4664/4971-4972/3585-3588,--
C21,6.7,Loose与Replicated两套路径,Reported,修正,三态(None/SimulatedTagOnly/CountToOwner);5.7双容器弃用;5.8单一GameplayTagCountContainer;Iris序列化器未启用,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Private/AbilitySystemComponent.cpp:1842-1874 + Private/GameplayEffect.cpp:4669-4670,双路径描述过时
C22,7.1,不能简单说只复制Base,Reported,证实(细化),Base/Current都在UPROPERTY;复制走AttributeSet子对象;客户端以复制值为新base重算,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/AttributeSet.h:48-53 + Private/GameplayEffect.cpp:3452-3511,--
C23,7.2,FastArray增量粒度,Reported,证实,项级,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Private/GameplayEffect.cpp:5264,--
C24,7.3,三种ReplicationMode分支,Reported,证实(钉死),仅两处分支:GetReplicationCondition+NetDeltaSerialize连接过滤,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Private/GameplayEffect.cpp:5183-5217/5219-5269,--
