编号,章节,论断摘要,文件路径(相对引擎根),起行,止行,符号名,置信度,改变预研结论
EV-001,T0,版本三件套 UE5.8.2/CL55116800/ff8421f2b,Engine/Build/Build.version,1,10,Build.version,Verified-Src,N
EV-002,T0,Iris 插件 Beta 默认禁用,Engine/Plugins/Experimental/Iris/Iris.uplugin,5,16,Iris.uplugin,Verified-Src,N
EV-003,T0,ReplicationGraph 为独立 Beta 插件,Engine/Plugins/Runtime/ReplicationGraph/ReplicationGraph.uplugin,5,15,ReplicationGraph.uplugin,Verified-Src,Y
EV-004,T0,NetworkPrediction Beta 默认禁用,Engine/Plugins/Runtime/NetworkPrediction/NetworkPrediction.uplugin,5,15,NetworkPrediction.uplugin,Verified-Src,N
EV-005,T0,WebSocketNetworking 位于 Experimental 目录,Engine/Plugins/Experimental/WebSocketNetworking/WebSocketNetworking.uplugin,5,15,WebSocketNetworking.uplugin,Verified-Src,N
EV-006,T0,WITH_REPLICATION_GRAPH 宏不存在(检索记录见 search-log),—,—,—,—,Verified-Src,Y
EV-007,T0,FObjectReplicator 实现在 DataReplication.cpp(无 ObjectReplicator.cpp),Engine/Source/Runtime/Engine/Public/Net/DataReplication.h,73,73,FObjectReplicator,Verified-Src,Y
EV-008,T1,HasAuthority=GetLocalRole==ROLE_Authority,Engine/Source/Runtime/Engine/Classes/GameFramework/Actor.h,4967,4970,AActor::HasAuthority,Verified-Src,N
EV-009,T1,ENetMode 全表(小于 NM_Client 皆服务器),Engine/Source/Runtime/Engine/Classes/Engine/EngineBaseTypes.h,978,996,ENetMode,Verified-Src,N
EV-010,T1,DS 的 GetNetMode 编译期短路,Engine/Source/Runtime/Engine/Classes/GameFramework/Actor.h,4989,4994,AActor::GetNetMode,Verified-Src,N
EV-011,T1,ServerReplicateActors 函数体级 WITH_SERVER_CODE 门,Engine/Source/Runtime/Engine/Private/NetDriver.cpp,6281,6281,UNetDriver::ServerReplicateActors,Verified-Src,N
EV-012,T1,多 NetDriver static FIXME(DeltaTimeOverflow),Engine/Source/Runtime/Engine/Private/NetDriver.cpp,5207,5207,ServerReplicateActors_PrepConnections,Verified-Src,N
EV-013,T2,RELIABLE_BUFFER=512,Engine/Source/Runtime/Engine/Classes/Engine/NetConnection.h,82,84,RELIABLE_BUFFER/MAX_CHSEQUENCE,Verified-Src,N
EV-014,T2,MAX_PACKET_SIZE=1024,Engine/Source/Runtime/CoreUObject/Public/UObject/CoreNet.h,794,794,MAX_PACKET_SIZE,Verified-Src,N
EV-015,T2,发送侧可靠溢出判定与断连,Engine/Source/Runtime/Engine/Private/DataChannel.cpp,1414,1447,UChannel::SendBunch,Verified-Src,Y
EV-016,T2,接收侧可靠上限 MaxReliableExceeded,Engine/Source/Runtime/Engine/Private/DataChannel.cpp,681,691,UChannel::ReceivedRawBunch,Verified-Src,Y
EV-017,T2,partial bunch 分片与 64KB 上限,Engine/Source/Runtime/Engine/Private/DataChannel.cpp,105,1401,net.MaxConstructedPartialBunchSizeBytes/UChannel::SendBunch,Verified-Src,N
EV-018,T2,FOutBunch 构造期可靠余量自检,Engine/Source/Runtime/Engine/Private/DataBunch.cpp,151,156,FOutBunch::FOutBunch,Verified-Src,N
EV-019,T2,PacketHandler 独立模块,Engine/Source/Runtime/PacketHandlers/PacketHandler/PacketHandler.Build.cs,6,6,PacketHandler module,Verified-Src,N
EV-020,T2,控制消息恒可靠+超1s重发,Engine/Source/Runtime/Engine/Private/DataChannel.cpp,2236,2247,UControlChannel::Tick,Verified-Src,N
EV-021,T3,NMT 枚举由宏生成且有序号空洞,Engine/Source/Runtime/Engine/Public/Net/DataChannel.h,154,158,DEFINE_CONTROL_CHANNEL_MESSAGE,Verified-Src,Y
EV-022,T3,无状态握手协议与 HMAC cookie 公式,Engine/Source/Runtime/Engine/Private/PacketHandlers/StatelessConnectHandlerComponent.cpp,30,160,StatelessConnectHandlerComponent,Verified-Src,N
EV-023,T3,Secret 轮换 15+rand5 秒,Engine/Source/Runtime/Engine/Private/PacketHandlers/StatelessConnectHandlerComponent.cpp,156,156,HandshakeSecret,Verified-Src,N
EV-024,T3,Restart Handshake 可恢复连接,Engine/Source/Runtime/Engine/Private/PacketHandlers/StatelessConnectHandlerComponent.cpp,72,100,Restart Handshake,Verified-Src,Y
EV-025,T3,网络版本号=CRC32(项目名+版本+NetCL+自定义版本),Engine/Source/Runtime/Core/Private/Misc/NetworkVersion.cpp,223,261,FNetworkVersion::GetLocalNetworkVersion,Verified-Src,N
EV-026,T3,IsNetworkCompatible 精确相等+override 委托,Engine/Source/Runtime/Core/Private/Misc/NetworkVersion.cpp,263,271,FNetworkVersion::IsNetworkCompatible,Verified-Src,N
EV-027,T3,登录状态机 ExpectedClientLoginMsgType,Engine/Source/Runtime/Engine/Private/NetConnection.cpp,5846,5870,IsClientMsgTypeValid,Verified-Src,N
EV-028,T3,ApproveLogin 容量拒绝,Engine/Source/Runtime/Engine/Private/GameSession.cpp,220,234,AGameSession::ApproveLogin,Verified-Src,N
EV-029,T4,影子状态挂在共享 FRepChangelistState,Engine/Source/Runtime/Engine/Public/Net/RepLayout.h,433,500,FRepChangelistState/FReplicationChangelistMgr,Verified-Src,Y
EV-030,T4,ChangelistMgr 每对象一份存于 NetDriver Map,Engine/Source/Runtime/Engine/Private/NetDriver.cpp,7917,7926,UNetDriver::GetReplicationChangeListMgr,Verified-Src,Y
EV-031,T4,比较复用门(每帧每对象一次),Engine/Source/Runtime/Engine/Private/RepLayout.cpp,1275,1335,FRepLayout::UpdateChangelistMgr,Verified-Src,Y
EV-032,T4,比较本体:对象数据 vs 共享影子,Engine/Source/Runtime/Engine/Private/RepLayout.cpp,1777,1881,FRepLayout::CompareProperties,Verified-Src,N
