repository,role,language,license,stars_seen,maintenance,production_use_evidence,sources
HiveGamesOSS/Chunker,Java↔Bedrock converter,Java,MIT,983 (2026-08-29 page),active; exact last effective commit date pending,"Microsoft Learn documents it; Hive-maintained, Mojang/Microsoft-supported public tool","S021,S022,S023"
Querz/mcaselector,Java region selector/editor,Java,MIT,4.8k (2026-08-29 page),active; exact last effective commit date pending,widely used Minecraft world editing utility; supported DataVersion table in README,"S027,S088"
Amulet-Team/Amulet-Core,multi-edition world abstraction/conversion core,Python,pending exact SPDX verification,hundreds range; exact count pending,2026 activity visible; exact date pending,basis for Amulet ecosystem; compatibility issues tracked publicly,"S028,S029"
owengage/fastnbt,Rust NBT/region library,Rust,MIT,pending,last effective commit pending,library/ecosystem use; no production project claim verified,S030
PrismarineJS/prismarine-chunk,multi-version Java/Bedrock chunk library,JavaScript,MIT,pending,ecosystem active; exact date pending,used in PrismarineJS/mineflayer ecosystem,S031
PrismarineJS/minecraft-data,versioned registry/data corpus,JSON/JavaScript,MIT,~925 page magnitude; exact value may change,active; exact date pending,used throughout PrismarineJS ecosystem,S032
Fenixin/Minecraft-Region-Fixer,Java region repair CLI,Python,GPL-3.0,pending,mature historical tool; current maintenance date pending,public repair utility with user issue history,"S035,S036"
luanti-org/luanti,voxel game engine/server,C++,LGPL-2.1-or-later,~12k+ magnitude; exact value may change,active in 2026; exact last commit pending,production Luanti server/game ecosystem,"S037,S038,S039"
Zylann/godot_voxel,Godot voxel module,C++,MIT,~4.1k magnitude; exact value may change,active in 2026; fixed code commit examined: 32e317d,used by Godot voxel projects; no single commercial production claim verified,"S041,S042,S043,S044"
Mojang/DataFixerUpper,typed data migration library,Java,LGPL family; exact SPDX pending re-check,~1.3k magnitude; exact value may change,public repository active history; fixed commit d0f713b examined,used by Minecraft data migration,"S014,S015"
BE-Community-Dev/bedrock-leveldb,Bedrock-compatible LevelDB fork/tooling,C++,pending exact SPDX verification,pending,maintenance date pending,community compatibility component; production adoption not verified,S019
bedrock-crustaceans/bedrock-world,Rust Bedrock world parser,Rust,pending exact SPDX verification,pending,maintenance date pending,library; production adoption not verified,S020
