ID,StateKind,Direction,Mechanism,Condition,Reliability,Content,Coordinate
R01,Attribute values,Server->Client,Subobject replication (AttributeSet via ReplicateSubobjects),COND_None (per-property by game; GAS doc requires REPNOTIFY_Always),Reliable (property channel),FGameplayAttributeData BaseValue/CurrentValue floats,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/AttributeSet.h:48-53 + Private/AbilitySystemComponent.cpp:1940-1946
R02,Active GameplayEffects,Server->Client,FastArray NetDeltaSerialize,COND_Dynamic (CVar UseReplicationConditionForActiveGameplayEffects=true default) else in-code filter,Reliable (property channel),Spec+PredictionKey+GrantedAbilityHandles+StartServerWorldTime per item,Engine/Plugins/Runtime/GameplayAbilities/Private/GameplayEffect.cpp:5219-5269 + Public/GameplayEffect.h:1416-1431 + Private/AbilitySystemComponent.cpp:1849-1850
R03,Granted abilities (specs),Server->Client,FastArray (FGameplayAbilitySpecContainer),COND_ReplayOrOwner,Reliable,Handle/Ability/Level/InputID/DynamicTags/Triggers/ReplicatedInstances filtered by ShouldReplicateAbilitySpec,Engine/Plugins/Runtime/GameplayAbilities/Private/AbilitySystemComponent.cpp:1861-1862 + Public/GameplayAbilitySpec.h:300-338
R04,Prediction key ack table,Server->Owning client,FastArray (FReplicatedPredictionKeyMap 32-slot ring),COND_OwnerOnly,Reliable,acknowledged FPredictionKeys,Engine/Plugins/Runtime/GameplayAbilities/Private/AbilitySystemComponent.cpp:1868-1870 + Private/GameplayPrediction.cpp:686-707
R05,Gameplay tag counts,Server->Client,Replicated property (GameplayTagCountContainer new path),COND_None,Reliable,explicit tag counts + parent aggregation,Engine/Plugins/Runtime/GameplayAbilities/Private/AbilitySystemComponent.cpp:1858 + Public/GameplayEffectTypes.h:1101
R06,Loose tag counts (legacy),Server->Owning client,Replicated property ReplicatedLooseTags,COND_None (deprecated UE 5.7),Reliable,tag count map CountToOwner,Engine/Plugins/Runtime/GameplayAbilities/Public/AbilitySystemComponent.h:1941-1943
R07,Minimal tags (sim proxies),Server->Non-owner clients,Replicated property MinimalReplicationTags,COND_SkipOwner (deprecated UE 5.7),Reliable,tag presence for simulated proxies,Engine/Plugins/Runtime/GameplayAbilities/Private/AbilitySystemComponent.cpp:1872-1874 + Public/AbilitySystemComponent.h:1921-1923
R08,Active persistent cues,Server->Client,FastArray (FActiveGameplayCueContainer),COND_None,Reliable,cue tag + prediction key + params,Engine/Plugins/Runtime/GameplayAbilities/Private/AbilitySystemComponent.cpp:1854 + Public/GameplayCueInterface.h:130
R09,Minimal cue proxy (sim proxies),Server->Non-owner clients,Replicated property MinimalReplicationGameplayCues,COND_SkipOwner + custom ShouldReplicate,Reliable,cue events for simulated proxies,Engine/Plugins/Runtime/GameplayAbilities/Private/AbilitySystemComponent.cpp:1873 + 1879-1886
R10,Montage state,Server->Client,Replicated USTRUCT with NetSerialize (FGameplayAbilityRepAnimMontage),COND_None,Reliable,montage/section/position/playrate,Engine/Plugins/Runtime/GameplayAbilities/Private/AbilitySystemComponent.cpp:1855 + Public/Abilities/GameplayAbilityRepAnimMontage.h:104
