id,missing_capability,who_and_how,concrete_failure,priority,direction
G01,物理容器与落盘 profile 未定义,Minecraft/Godot 用 region sector index；Bedrock/Luanti 用 KV；Zarr/PMTiles 用 immutable shard。〔S005、S017、S037、S043、S050、S053〕,首个大世界只能临时拼目录；随机读、覆盖变长块、原子激活和备份闭包各自采用冲突假设，数据一旦产生后再换容器需全量迁移。,必须现在补,冻结“逻辑字节≠物理容器”，为 Authority 与 Replica 分别定义 container profile 和可识别 header。
G02,持久化索引格式、校验与重建协议缺失,Anvil 固定头索引；Zarr shard offset/length+校验；PMTiles 分层目录；数据库维护 B-tree/LSM manifest。〔S005、S050、S053、S060、S063〕,索引损坏或冷启动时只能全目录/全文件扫描；一亿 chunk 时启动不可控，修复工具也无法判定 payload 归属。,必须现在补,定义 index root、层级、hash、generation、rebuild scan 与 duplicate/conflict 规则。
G03,单 writer lease、文件锁和多进程打开语义缺失,Minecraft 有 session lock；SQLite/LevelDB 有连接/目录锁与单写者规则。〔S005、S060、S063〕,两个 authority 或迁移器与服务器同时打开同一世界，会重复分配空间、互相覆盖 current pointer 或产生两个合法但分叉的 WAL。,必须现在补,明确 world storage lease、只读共享、迁移/备份 lease 与失效/强制接管审计。
G04,碎片、tombstone、旧快照和外置 blob 的空间回收缺失,Anvil 需 region rewrite；LSM 依赖 compaction；PMTiles/immutable shard 通过新归档和旧版本 GC。〔S011、S064、S053〕,长期挖放与自动保存后 allocated/live 比例持续上升，磁盘满时 staging/快照失败，上一有效检查点也可能因共盘耗尽而无法保留。,必须现在补,每 profile 定义 live-byte accounting、compaction trigger、空间预留、GC root/lineage 和磁盘满行为。
G05,备份依赖闭包与可恢复验证缺失,SQLite WAL 备份必须包含一致 cut；Minecraft 外置 `.mcc`/独立 entities/POI 说明主文件不是完整世界。〔S006、S009、S061〕,运维复制“快照文件”却漏 WAL、registry、base map 或外置 chunk；事故时备份能解压但不能恢复到一致 revision。,必须现在补,BackupReference 显式列 snapshot、WAL range、content/registry/base、encryption key id，并定期恢复演练。
G06,坏块隔离、索引重建和 salvage 工具协议缺失,Minecraft Region Fixer/MCA Selector 可扫描、删除、从备份替换；Zarr/PMTiles 索引可独立校验。〔S027、S035、S050、S053〕,一个 page/hash/index 损坏导致整个世界拒绝启动；团队在事故中只能手改二进制或删除整个 region，损失范围不可审计。,必须现在补,提供 verify/rebuild-index/extract/salvage-to-new-world，任何有损修复输出坐标和证据。
G07,`u32` 方块值的稳定语义和 registry artifact 缺失,Minecraft Flattening 使用 namespaced state + local palette；Luanti 保存内容映射。〔S008、S012、S039〕,Release 新增/删除/重排方块后，同一个 `u32` 被解释成另一方块；Minecraft importer 也无法稳定生成目标值。,必须现在补,采用稳定 semantic key + versioned per-world/snapshot local registry + runtime handle 三层。
G08,未知/已删除方块与缺失内容包策略缺失,模组移除会使旧数据无法修复；转换工具显式限制/报告不支持内容。〔S016、S021、S022〕,加载旧档时未知块被静默当空气，玩家建筑永久丢失；或 parser 深处崩溃且无法给出缺哪个内容包。,必须现在补,默认 MissingBlock/opaque preservation 或拒绝 Authority 激活；有损替换必须显式、可报告、可重跑。
G09,container/schema/WAL/content/worldgen/mapping/release 多层版本模型缺失,Minecraft `DataVersion`、Addressables content state、Zarr format/codec metadata 分别解决不同轴。〔S014、S048、S049〕,两个存档 `schemaVersion` 相同但 registry/base 不同仍被允许互换；错误直到读取某未知 block 或重放 WAL 才暴露。,必须现在补,定义独立版本字段与 compatibility matrix；禁止靠文件名/Release 猜内部版本。
G10,旧格式只读 adapter 与读时升级规则接口缺失,DataFixerUpper 以 schema/fix 有序升级；多版本编辑器按 DataVersion 分支。〔S014、S027、S088〕,每次小字段演进都被迫停机全量迁移，或旧 chunk 首次访问时由临时代码原地修改并覆盖唯一副本。,必须现在补,局部变更允许 in-memory typed fix，安全 checkpoint 后才写回；破坏性变更走离线 DAG。
G11,历代真实存档与跨语言 golden corpus 缺失,Minecraft parser 持续因 packing、LZ4、MUTF-8 等变化出兼容 issue。〔S004、S007、S010、S029〕,修当前版本时悄悄破坏 1.16/1.18 或旧自有 schema；Rust 与 C# 分别“通过自己测试”但 bytes/hash 不同。,必须现在补,从 v1 起保存合法/非法 bytes、semantic tree、expected canonical bytes、migration output 和 mutation corpus。
G12,迁移断点 journal、空间预检和重复执行证据缺失,LSM/数据库迁移与大对象构建通常依赖不可变输入、manifest 和 checkpoint；目标已有 staging 但未定义 task journal。〔S060、S063〕,TB 级 re-chunk 在 90% 处断电后只能重头开始；重跑可能重复应用非幂等 fix，或因临时空间不足破坏进度。,必须现在补,partitioned task key+input/output hash、resume journal、estimated peak bytes、idempotency 和 activation CAS。
G13,worldgen identity、版本、随机语义和 provenance 缺失,Minecraft 旧/新生成边界需 terrain blending；重置 Nether 才能换新生成器。〔S078、S082〕,未物化 chunk 在升级后生成成不同地形；玩家 overlay 落在错误 base，边界出现断层且无法判断旧算法。,必须现在补,即使首版不生成，也预留 GeneratorIdentity/None、source provenance、coverage 和 materialization class。
G14,生成状态/依赖阶段与“缺席是否可生成”语义缺失,Minecraft 持久化 chunk generation status；Godot Voxel 分离 stream 与 generator。〔S010、S042〕,查询一个缺块时有的路径报 NotLoaded、有的偷偷生成；装饰/光照触发无界邻块级联，半生成块被玩家交互。,可以推迟但要预留,为 chunk provenance 和 generation stage 留版本化状态；首版 imported-only 可禁止生成。
G15,客户端持久化形态未定：纯流式、缓存还是完整本地存档,浏览器 Storage 是 best-effort/可持久化请求；PMTiles/Zarr 支持按需 cache。〔S050、S053、S058、S059〕,实现者把 Partial snapshot 写进 IndexedDB 并命名为“存档”，配额回收后被当世界损坏；或缓存缺失被当空气。,必须现在补,首版明确 Replica cache 非真值；完整离线 Authority 作为独立产品能力。
G16,客户端缓存 key、失效与服务器 manifest 协议缺失,COG/PMTiles 使用 immutable identity/Range，HTTP ETag 只验证传输；内容系统用 catalog。〔S048、S052、S053、S084〕,新地图/新 registry 发布后客户端继续展示旧块；或每次登录因无法判 freshness 而全量重拉。,必须现在补,key 包含 release/world/base/content/schema/page/hash；ETag 只作物理层优化。
G17,Replica “脏”与 Authority durability dirty 未拆语义,流式客户端缓存可丢，只有未确认本地命令/overlay需要保留；目标当前只有统一 Dirty/eviction约束。,浏览器内存压力下权威缓存因“未收到本地 durability ack”不能驱逐，最终 OOM；或未确认玩家命令被当 cache 丢弃。,必须现在补,至少拆 AuthoritativeCache、LocalPending、LocalConfirmed/Discardable；驱逐规则按类别。
G18,分级驻留（运行时/packed/metadata/unloaded）未定义,Unreal HLOD、Zarr/瓦片层次和 Godot uniform channels体现多级表示。〔S046、S050、S055、S089〕,所有 Ready chunk 都保持完整对象、碰撞和 mesh；多玩家或 WASM 先被派生数据撑爆，而非 voxel bytes。,可以推迟但要预留,定义 R4–R0 级别、升级/降级成本与哪些查询允许使用哪个级别。
G19,加载触发源、级联依赖和全局调度器缺失,Unreal streaming source；Minecraft/Godot load+generation邻域；3D Tiles availability。〔S042、S046、S055〕,AOI 加载之外的物理、光照、mesh、显式查询各自发请求，重复/递归排队，把驻留和 IO 放大数十倍。,必须现在补,统一 LoadIntent，携 source/priority/dependency radius/deadline/generation；去重并按全局预算调度。
G20,异步加载完成进入唯一提交点的候选批次协议缺失,目标有单提交点；现代 streaming 异步读，但必须在主/结构相安装。Godot/Unreal提供异步流式先例。〔S042、S046〕,旧请求完成后覆盖同坐标新 mutation；worldRevision stamp 与实际可见 chunk 集合撕裂。,必须现在补,LoadCandidate 携 requestGeneration、bound revision、content/schema/hash；提交点重新验证并原子发布。
G21,冷启动阶段与玩家可进入 gate 未定义,大世界系统按 metadata/index/recovery/AOI/呈现分级，而不是全世界读完。,进程端口已开放但 WAL 未重放或出生区碰撞未 Ready；玩家掉入缺块、看到旧 revision，随后被新恢复状态覆盖。,必须现在补,定义 StorageOpened、Recovered、WorldOnline、SpawnSafe、ViewReady 等 gate 与对外状态。
G22,预取、hysteresis、最短驻留与 eviction score 未定义,World Partition 按 streaming source；常见 cache 以距离/最近访问/成本与双阈值抑制抖动。〔S046〕,玩家沿 chunk 边界移动时同一块每秒反复 IO/decode/mesh；预取把真正热块赶走。,可以推迟但要预留,score 可插拔但输入与硬禁淘汰项先冻结；至少内外半径、cooldown、request aging。
G23,派生数据（light/heightmap/mesh/collider）的权威性与 provenance 缺失,Minecraft 保存部分 light/heightmap cache，Godot/商业引擎运行时重建 mesh/HLOD。〔S010、S042、S046〕,迁移把旧渲染缓存当权威，跨版本加载出错误碰撞/光照；或冷启动每次全重算导致长卡顿。,必须现在补,逐类型声明 authoritative/cache、source hash/schema、可丢/重算与 readiness gate。
G24,base map + 玩家 overlay + whiteout/tombstone 语义缺失,OverlayFS/OCI 显式 whiteout；Minecraft 旧块/新块用分区升级而非任意合并。〔S076、S077、S078〕,地图更新后玩家挖空的方块复活，或官方建筑覆盖玩家建筑；无法回滚/解释冲突。,必须现在补,base identity、Unmodified/Set/Delete 三态、lineage、overlay compaction 与冲突政策接口。
G25,按需分发 manifest、Range-friendly shard 与请求合并缺失,Zarr sharding、COG、PMTiles、3D Tiles提供索引+Range+层次 availability。〔S050、S052、S053、S055〕,浏览器只能下载整个世界文件或发百万小请求；CDN/缓存收益无法利用，首屏随地图总大小增长。,可以推迟但要预留,Authority 导出 immutable projection；index/page独立压缩，manifest分层且可校验。
G26,Diff 的 page 粒度与 coalescing 规则未冻结,Minecraft section palette与Zarr inner chunk说明子块独立编码；Luanti整块重写暴露写放大。〔S010、S040、S050〕,一个方块变化重传/重写整个大 chunk，快照 pin、网络和浏览器 cache 失效放大；若 page过小又被索引/hash开销吞噬。,必须现在补,利用已有 page hash做 page diff，允许按阈值合并；用工作负载实验定 page。
G27,压缩字节是否属于 canonical hash 及编码 profile 未闭合,Zstd/LZ4规范允许多种合法编码，版本/构建变化有输出差异 issue。〔S069、S071、S072、S073、S074〕,Rust/C# 解压后世界相同但 snapshot hash 永久不同，复制、diff、缓存和迁移全部误判冲突。,必须现在补,hash 未压缩 canonical bytes；物理 codec profile独立版本。坚持压缩后hash则冻结实现构建和golden。
G28,解压上限、NBT深度、长度溢出与外部导入安全预算缺失,NBT/region含攻击者可控长度/嵌套；目标虽有全局预算，未列 parser 细项。〔S001、S003、S005〕,导入一个坏地图即可申请数GB数组、递归栈溢出、offset整数溢出或压缩炸弹，进程在校验hash前OOM。,必须现在补,parse前/过程中限制文件、record、tag depth、array/string、decompressed bytes、ratio、CPU和坐标。
G29,Minecraft source adapter 支持矩阵与规范化 IR 缺失,Java/Bedrock 在字节序、MUTF-8、region/LevelDB、palette、actor storage上不同。〔S002、S004、S017、S018〕,一个“通用 parser”对某版本静默错位；源数据未先归一化就直接映射目标，错误无法定位到 source/mapping/target。,必须现在补,edition+DataVersion路由 source adapter，输出版本化语义 IR，再做 mapping/target encode。
G30,导入 mapping set 的版本、未知策略和有损报告缺失,Chunker明确哪些内容不转换；minecraft-data提供版本 registry；工具需持续适配。〔S021、S022、S032〕,同一输入今天与下月因映射表更新生成不同世界却复用同 import id；用户不知道哪些 block/entity 被丢。,必须现在补,mappingSetId/hash、ruleId、loss class、unknown counts/coordinates、source/target hash写入 import evidence。
