关系,保证?,机制与坐标,置信度
属性→属性(同对象同连接),有,共享 changelog 环形历史按通道游标推进 Engine/Source/Runtime/Engine/Public/Net/RepLayout.h:356-363 450-453;每通道 FSendingRepState HistoryStart/End :601-605,Verified-Src
属性→RPC(同对象),有(发送序保持),RPC bunch 与属性 bunch 同一 UActorChannel;可靠各自进 OutRec 按通道序 Engine/Source/Runtime/Engine/Private/NetDriver.cpp:3223-3360,Verified-Src
RPC→RPC(同通道同可靠),有,通道内序号+InRec 保序 Engine/Source/Runtime/Engine/Private/DataChannel.cpp:681-691 ReceivedRawBunch,Verified-Src
RPC→RPC(同通道跨可靠性),无,可靠走重传队列 不可靠随包即弃(不可靠可被丢弃/超越),Verified-Src(机制推断自可靠队列结构)
RPC→RPC(跨对象=跨通道),无,每通道独立序号空间(NetConnection.h:82 语义),Verified-Src
属性→RPC(跨对象),无,同上,Verified-Src
通道关闭→该通道历史内容,有(close bunch 可靠且最后),DataBunch.cpp:209-215 控制消息恒可靠;UChannel::ReceivedSequencedBunch DataChannel.cpp:579-596,Verified-Src
multicast 跨连接相对时序,无,逐连接独立 relevancy 判定与预算 NetDriver.cpp:8227-8253,Verified-Src
客户端 Server RPC→服务器属性下发,无跨向顺序,上/下行不同通道族,Verified-Src
不可靠属性→后续包的属性,最新值获胜(中间值可丢),poll-and-diff 只发最新状态(T4);无逐值日志,Verified-Src
可靠 RPC→其后触发的属性变化(同对象),有,同通道序,Verified-Src
休眠唤醒后的首包→休眠前状态,有(通道重开走全量),StartBecomingDormant 追平后关通道 NetDriver.cpp:5627-5633;唤醒 FlushNetDormancy Actor.cpp:3102+,Verified-Src
移动 RPC→移动纠正,有(时间戳序),CMC 时间戳 ack 机制 CharacterMovementComponent.cpp:11285-11295,Verified-Src
