类别,名称,默认值,注册/定义点(相对引擎根),一句话语义/作用点,置信度
CVar,net.UseAdaptiveNetUpdateFrequency,0,Engine/Source/Runtime/Engine/Private/NetDriver.cpp:523-526,自适应对象更新频率总开关(作用于 BuildConsiderList 的 OptimalNetUpdateDelta 插值),Verified-Src
CVar,net.DisableRandomNetUpdateDelay,0,NetDriver.cpp:568(变量566),关闭 NextUpdateTime 的随机抖动,Verified-Src
CVar,net.MaxConnectionsToTickPerServerFrame,0,NetDriver.cpp:5194,每帧最多 tick 的连接数(0=不限;作用点 PrepConnections :5225-5228),Verified-Src
CVar,net.MaxRPCPerNetUpdate,2,Engine/Source/Runtime/Engine/Private/DataReplication.cpp:38-42,每 NetUpdate 允许的不可靠组播 RPC 数(超出丢弃),Verified-Src
CVar,net.DormancyEnable,1,NetDriver.cpp:488,休眠系统总开关(GSetNetDormancyEnabled),Verified-Src
CVar,net.DormancyValidate,0,NetDriver.cpp:496,0=不校验 1=唤醒时校验 2=每次 net update 校验休眠对象(ValidateAgainstState,作用点 NetDriver.cpp:6390-6405),Verified-Src
CVar,net.DormancyHysteresis,0,Engine/Source/Runtime/Engine/Private/DataChannel.cpp:114,进入休眠前的等待秒数(防抖),Verified-Src
CVar,Net.ReuseReplicatorsForDormantObjects,0,NetDriver.cpp:504,休眠对象复用 replicator,Verified-Src
CVar,Net.IsPushModelEnabled,false,Engine/Source/Runtime/Net/Core/Private/Net/Core/PushModel/PushModel.cpp:435-439,Push Model 总开关(注意前缀 Net.),Verified-Src
CVar,Net.MakeBpPropertiesPushModel,true,PushModel.cpp:443-446,蓝图复制属性默认标为 push-based,Verified-Src
CVar,net.ShareShadowState,1,Engine/Source/Runtime/Engine/Private/RepLayout.cpp:80,共享影子状态(比较复用的总开关,T4.1),Verified-Src
CVar,net.ShareInitialCompareState,0,RepLayout.cpp:84,初始复制比较共享(UpdateChangelistMgr 的新路径),Verified-Src
CVar,net.ShareSerializedData,1,RepLayout.cpp:64,共享序列化缓冲(BuildSharedSerialization),Verified-Src
CVar,Net.UsePackedShadowBuffers,1,RepLayout.cpp:76,影子缓冲紧凑布局,Verified-Src
CVar,net.MaxChannelSize,0,Engine/Source/Runtime/Engine/Private/NetConnection.cpp:80-81,通道数组上限(0=DefaultMaxChannelSize=32767),Verified-Src
CVar,net.MaxConstructedPartialBunchSizeBytes,65536,DataChannel.cpp:107,单逻辑 bunch 上限(IsBunchTooLarge),Verified-Src
CVar,net.PartialBunchReliableThreshold,8,DataChannel.cpp:94,分片数达到阈值强制转可靠,Verified-Src
CVar,net.MaxNumberOfAllowedTArrayChangesPerUpdate,2048,Engine/Source/Runtime/Net/Core/Private/Net/Serialization/FastArraySerializer.cpp:11-15,FastArray 单次更新变更数上限,Verified-Src
CVar,net.MaxNumberOfAllowedTArrayDeletionsPerUpdate,2048,FastArraySerializer.cpp:17-22,FastArray 单次更新删除数上限,Verified-Src
CVar,net.GracefulCloseEnabled,true,NetConnection.cpp:248,优雅关闭(等可靠数据 ack 再 Close,上限 GracefulCloseConnectionTimeout=2s),Verified-Src
CVar,net.EnableCongestionControl,0,NetConnection.cpp:105,启用实验性拥塞控制(NetworkCongestionControl),Verified-Src
CVar,net.AllowEncryption,1,NetDriver.cpp:529,0/1/2=禁用/允许/强制加密,Verified-Src
CVar,net.AllowReliableMulticastToNonRelevantChannels,1,NetDriver.cpp:542,可靠组播发往失相关但通道存活的连接(作用点 :8244),Verified-Src
CVar,net.DiscardTornOffActorRPCs,1,NetDriver.cpp:466,撕离 actor 的 RPC 丢弃(作用点 :8139-8143),Verified-Src
CVar,net.SkipMissingLevelDisconnect,false,NetConnection.cpp:119,缺 Level 包改为忽略而非断连,Verified-Src
CVar,net.MagicHeader,(空),Engine/Source/Runtime/Engine/Private/PacketHandlers/StatelessConnectHandlerComponent.cpp:236,握手包魔数头,Verified-Src
CVar,net.HandshakeResendInterval,1.0,StatelessConnectHandlerComponent.cpp:246,握手包重发间隔,Verified-Src
CVar,net.VerifyNetSessionID/net.VerifyNetClientID/net.VerifyMagicHeader,-,StatelessConnectHandlerComponent.cpp:289/296/303,握手身份位校验开关,Verified-Src
CVar,wp.Runtime.EnableServerStreaming,0,Engine/Source/Runtime/Engine/Private/WorldPartition/WorldPartition.cpp:128-130,WorldPartition 服务器流送总开关,Verified-Src
