编号,预研章节,预研原结论摘要,预研置信度,裁决,新结论摘要,证据编号,影响面
CW-01,预研复制成本模型(E 章推定)/本提示词 4.1,服务器为每个连接维护影子状态并逐属性比较,Reported,证伪(对 UE5.8),影子状态与 changelist 为每对象每 NetDriver 一份全连接共享(FReplicationChangelistMgr 存于 UNetDriver::ReplicationChangeListMap);每连接仅 FSendingRepState 游标;比较每帧每对象至多一次(角色属性除外);客户端接收侧 FReceivingRepState::StaticBuffer 才是每连接一份——预研混淆了两者,EV-029;EV-030;EV-031;EV-034,复制成本公式/容量规划:每连接内存成本从 O(属性字节) 降为 O(游标);「连接数×属性数」的 diff 成本项不存在
CW-02,预研 ServerReplicateActors 条目,排序与截断机制停在 Reported,Reported,补齐为 Verified-Src,排序=每连接相关集按 65536×NetPriority×Time 降序;截断=两道 IsNetReady 预算门(连接级 return 0/对象级 return j);截断不丢弃 经 MarkRelevantActors 打 bPendingNetUpdate 回流,EV-042;EV-045;EV-046;EV-047,T5 全章与带宽调度设计依据
CW-03,预研「名称待核」表(服务器帧率控制),疑似 net.MaxTickRate 类 CVar,Reported,源码中不存在(命名纠正),不存在 net.MaxTickRate/sv.* CVar;真实控制=每 NetDriver UPROPERTY(Config) NetServerMaxTickRate(ini 默认 30) 被 t.MaxFPS 最终覆盖;DS 靠 SleepNoStats 睡眠,EV-076;EV-077,T9/运维参数表
CW-04,预研时间同步表述(常见说法),服务器世界时间同步在 PlayerState,Reported,证伪,字段与实现全在 AGameStateBase(ReplicatedWorldTimeSecondsDouble 10Hz);且无 RTT/半 RTT 补偿 仅 250 样本滚动均值+0.5 阻尼,EV-082,T9/客户端时间对齐设计
CW-05,预研脆弱性清单(可靠队列溢出),可靠缓冲溢出会踢连接但无坐标,Reported,补齐为 Verified-Src,RELIABLE_BUFFER=512;发送侧 DataChannel.cpp:1414 判定→:1445 Close(ReliableBufferOverflow) 先发 NMT_Failure;接收侧 :681→NetConnection.cpp:4196 CorruptData;RPC 变体 NetDriver.cpp:3314-3331;无降级路径(注释明言改 512=网络版本变更),EV-013;EV-015;EV-016,失败路径章/慢客户端治理
CW-06,预研插件成熟度表述,Iris/ReplicationGraph 等成熟度未逐一核实,Reported,修正,逐个读 .uplugin:Iris=IsBetaVersion=true(Experimental 目录);ReplicationGraph=Beta 插件且 WITH_REPLICATION_GRAPH 宏已不存在(引擎侧仅 UReplicationDriver 抽象);NetworkPrediction=Beta;WebSocketNetworking=Experimental 目录无字段;Iris 真身在 Runtime/Net/Iris(IrisCore)非插件目录,EV-002;EV-003;EV-004;EV-006,T0/T8/选型判断
CW-07,预研对象数×连接数成本直觉,复制成本=对象数×连接数×属性数,Reported,修正,乘积项仅存在于 relevancy 判定/优先级/序列化;候选集构建与 changelist 比较为每对象一次与连接数无关;序列化字节数才是主导乘积项,EV-031;EV-044;EV-046,容量模型/是否需要 ReplicationGraph 的判断基准
CW-08,预研回放章(H 写薄),回放机制停留在「复用复制管线」概念级,Reported,补厚,录制=DemoNetDriver 关掉主循环自跑变体+劫持 LowLevelSend;检查点=用既有通道 SinceOpen 全量重录(非世界快照)按帧预算跨帧;两代系统并存(UReplayNetConnection 默认关/回放仍走 DemoNetDriver/Iris 对 Demo 禁用);不存在 ReplaySystemNext 插件,EV-098;EV-099;EV-100;EV-101;EV-103,T13/目标引擎录像路线决策
CW-09,预研安全章(K 写薄),关闭原因与失败模式未成表,Reported,补厚,ENetCloseResult 枚举约 40+ 触发点全表化;畸形数据服务器必断/客户端(非 Iris)容忍;控制通道队列超限绕过 Close;日志限速踢人;FaultRecovery 空置钩子存在,EV-104;EV-106;EV-107;EV-108;EV-109,T14/目标引擎关闭原因码基线
CW-10,预研断线重连判断,「UE 内置几乎没有」,Reported,证实(并给出生命周期证明),断链 N+1 帧同帧销毁 PC/PS;token 族关键字全零命中;仅 InactivePlayerArray 快照(UniqueId/地址匹配 限时)+StatelessConnect 的 Restart Handshake(仅地址变化场景);GracefulClose≤2s 是唯一排空原语;无全局 drain,EV-110;EV-111;EV-112;EV-115,T15/会话层自建清单
