Domain,UE_state_or_fact,UE_representation,Target_state,Target_substate_or_field,Gap_or_note
Ability,Granted inactive,AbilitySpec in ASC,N/A,GrantedAbility record,Not an execution instance
Ability,Activation requested,TryActivate / input or event / PredictionKey,Requested,request_source; prediction_id,Canonical request begins here
Ability,CanActivate passed / Activate entered,Spec active count / ability instance,Activated,pre_commit,May be brief
Ability,Committed and running,Active ability + Tasks/Effects,Executing,committed=true,Core execution phase
Ability,Granted but tag-blocked,CanActivate failure tags; Spec remains,N/A,availability=Blocked; reason tags,Only a concrete request becomes Rejected
Ability,Waiting TargetData,AbilityTask,Executing,WaitingTargetData,Serialize as WaitRecord
Ability,Waiting GameplayEvent,AbilityTask,Executing,WaitingEvent,Serialize as WaitRecord
Ability,Waiting Montage,AbilityTask / montage state,Executing,WaitingPresentation,Do not let animation time be authoritative
Ability,Normal EndAbility,Spec no longer active,Completed,completion_reason,Terminal; execution handle invalid
Ability,Activation check/server validation failed,Failure tags/rejection path,Rejected,local_precheck or server_reject,Terminal request result
Ability,CancelAbility / tag cancellation,Cancel path,Cancelled,cancel_source,Terminal
Ability,Product timeout,Usually project timer then End/Cancel,Expired,deadline_frame,UE has no single core Expired enum
Ability,Predicted activation rejected,PredictionKey reject + cancellation/undo,RolledBack,authority_reject_reason,UE expresses this compositionally
Effect,"Spec built, not applied",FGameplayEffectSpec,Pending,staged write,Invisible before commit in target
Effect,Application/immunity failed,Invalid/failed application result,Rejected,reason,Explicit result recommended
Effect,Duration/Infinite applied,FActiveGameplayEffect,Active,"stack, deadline, source",Canonical active instance
Effect,Stack increment/refresh/reset,Mutation of active effect,Active,ordered active event,Not a top-level state
Effect,Ongoing requirement false / inhibited,bIsInhibited on active effect,Active,inhibited=true,Orthogonal active substate
Effect,Duration elapsed,ActiveEffect removed by expiry,Expired,expiry_frame,Terminal
Effect,Explicit/tag/ability removal,Remove path,Removed,remove_reason,Terminal
Effect,Predicted effect rejected,Prediction-key rollback/remove,RolledBack,prediction_id,Distinct from authority removal
Effect,Instant effect,Execute without long-lived active record,Pending -> committed fact,instant_execution_event,"Audit as a short-lived event, not Active"
