Category,Canonical_UE_carrier,Direction,Audience,Granularity,Reliability_semantics,ECS_target_mapping
Attributes,Replicated AttributeSet properties + RepNotify,Server->Client,owner/relevant observers per property conditions,property,eventual authoritative state,same-commit attribute delta
Active Effects,FActiveGameplayEffectsContainer FastArray,Server->Client,Full/Mixed/Minimal projection,item add/change/remove,eventual collection state,EffectInstance item id+version+commit_seq
Granted Abilities,AbilitySpec collection,Server->Owning Client mainly,owner private,spec item,eventual list state,GrantedAbilityRecord private projection
Ability instance fields,restricted/deprecated member replication,Server->Client,strategy-dependent,object fields,not a general execution snapshot,explicit AbilityExecution component
Owned Tag counts,Effect/spec/replicated loose tag state,Server->Client,projection dependent,tag/count or inferred,eventual state,TagContribution + projected count
Persistent GameplayCue,active effect/cue state,Server->Client,relevant observers,cue state,late-join recoverable,Persistent PresentationIntent state
Transient GameplayCue,cue RPC/event,Server->Clients; local predicted first,relevant observers,event,best effort can be lossy,best-effort presentation channel
Montage state,replicated montage struct,Server->Clients,relevant observers,montage state,state correction,presentation-only token/state
Activation request,ASC RPC,Client->Server,authority,one request,reliable command semantics,ordered command stream
TargetData,ASC RPC/cache,Client->Server,authority,activation payload,reliable delivery but untrusted content,schema-limited target command + validation
Generic/input events,ASC RPC/cache,usually Client->Server,authority,event keyed by activation,event semantics,ordered event/command with sequence
Prediction catch-up,ReplicatedPredictionKeyMap,Server->Owning Client,owner only,key item,eventual confirmation,AuthorityResult in same commit
Prediction reject,failure/reject path,Server->Owning Client,owner only,key/outcome,must reach client,reliable AuthorityResult
Cooldown remaining,effect time + server time; locally derived,Server state->Client derivation,owner/UI,not per-tick replicated,derived,integer end_tick from committed effect
