ID,MissingCapability,IndustryTreatment,FailureScenario,Priority
1,生命周期正交状态轴,UE dormancy/relevancy、FishNet observer、Unity enableable分离,对一个玩家leave触发全局Disable，服务器AI停止,必须现在补
2,Entity Constructing/Published状态,Photon Spawned/AfterSpawned，Unity结构可见边界,查询读到默认值半实体,必须现在补
3,Awake允许访问范围,Unity Awake/Start分层,组件注册顺序改变结果,必须现在补
4,Start依赖DAG与循环检测,批次后回调、System order,A等B、B等A或隐式空值,必须现在补
5,钩子重入规则,Flecs defer/merge,OnAdd里Remove导致迭代失效/递归,必须现在补
6,钩子失败的发布/回滚,目标fail-stop尚无细则,部分组件已注册、实体仍被查询,必须现在补
7,恢复专用OnHydrate语义,快照恢复通常重建状态而非重放副作用,重启后重复发奖励/音效/外部写,必须现在补
8,组件Required/Mutex/OneOf约束,Prefab/relations/authoring validation,运行时缺Transform或双物理writer,必须现在补
9,稳定ComponentTypeId,Schema/ECS registry,重排注册后存档与hash全变,必须现在补
10,稳定FieldId与保留策略,Protobuf/FlatBuffers,删除后复用ID，旧客户端错解,必须现在补
11,Schema manifest/兼容门,Unity protocol checks,不兼容客户端继续运行并污染状态,必须现在补
12,EntityType版本与迁移,Prefab/Schema migration,老存档无法升级、动态组件集合错位,必须现在补
13,Replication Transaction原子范围,Photon per-object consistency,HP与Dead分包，回调见半状态,必须现在补
14,BaselineId/InterestEpoch,Snapshot/AOI框架隐含维护,重进AOI吃到旧delta,必须现在补
15,ConnectionEpoch去重,常见会话协议,重连后旧包对新实体生效,必须现在补
16,Dirty层级与mask扩展,Mirror bitmask、Unity字段schema,字段过多或绕过setter不发,必须现在补
17,可变集合操作日志,Mirror SyncObject/Colyseus collections,直接List修改绕过dirty；无observer内存涨,必须现在补
18,Remote apply禁止回声dirty,生成setter/authority路径,客户端收到状态又回发,必须现在补
19,初始/变化/纠正回调区分,Photon Spawned vs OnChanged,初始加载播放受伤动画或不初始化UI,必须现在补
20,字段/组件可见性默认,Ghost variants/Interest/StateView,漏标导致AI意图、库存、迷雾信息泄露,必须现在补
21,跨实体网络引用,UE network refs,目标不在AOI，null永久化或悬挂,必须现在补
22,Unresolved reference patch table,网络对象解析层,同包后创建/预测remap丢关联,必须现在补
23,Tombstone保留期与原因,entity version/dead cache,迟到包复活实体或误指新对象,必须现在补
24,预测ID匹配/拒绝/重映射全图,Predicted Ghost/NetworkId,子弹确认后owner/parent仍指临时ID,必须现在补
25,权威/预测/渲染字段分层,Photon/Unity prediction,一个字段被预测、网络和插值互相覆盖,必须现在补
26,Canonical系统/事件/命令顺序,DOD pipeline/lockstep,不同线程merge产生不同hash,必须现在补
27,RNG/时间/外部输入协议,rollback/lockstep,回放调用墙钟或随机数分叉,必须现在补
28,State hash规范编码,协议schema/canonical snapshot,hash受字典/内存地址影响,必须现在补
29,Snapshot切点与Outbox watermark,checkpoint+log,恢复重复外部副作用,必须现在补
30,Transform writer ownership,Transform/physics/network frameworks,物理与脚本同tick覆盖，回放不稳,必须现在补
31,Parent变更、循环检测、不可见父策略,Unity/Fusion TRSP,子物体原点跳变或AOI依赖裂开,必须现在补
32,Server Interest与Client Residency分离,Observer/interest/dormancy,安全leave被客户端TTL延迟,必须现在补
33,AOI hysteresis/dwell分类,行业常见，框架多留自定义,边界每tickspawn/despawn风暴,必须现在补
34,AOI dependency closure,parent/owner always interest,装备先于角色，引用无法解析,必须现在补
35,AOI enter预算与饥饿上限,Photon scheduling,传送后关键实体迟迟不可见,可以推迟但要预留（接口必须现在补）
36,Dormancy/LOD复制,UE dormancy、NfE importance,大量静态实体仍逐tick参与,可以推迟但要预留
37,Query snapshot/迭代失效语义,ECB/staging ECS,遍历中提交导致重复/漏实体,必须现在补
38,Fast vs Deterministic query模式,存储与canonical顺序分离,为了hash把所有查询强制排序，性能崩,必须现在补
39,组件/实体池化重置合同,NetworkObjectProvider/pools,旧订阅、timer和handle污染新实例,必须现在补
40,managed/native批量边界,DOD批处理,逐实体跨边界吞掉所有存储收益,必须现在补
41,Lifecycle/Replication/AOI trace,主流工具/统计,半状态只能靠日志猜，无法复现,可以推迟但要预留
42,Schema diff CI与ID registry,Proto/FBS/Unity manifests,团队重用字段ID或隐式breaking change,必须现在补
43,长期migration fixture corpus,序列化系统实践,发布半年后才发现旧存档不可读,可以推迟但要预留（格式必须现在补）
44,组件目录Owner/带宽Owner,大项目治理,“通用组件”无限长，没人负责网络成本,可以推迟但要预留
45,多World引用类型,Unity server/client Worlds,本地handle误投到另一World,必须现在补
46,跨帧异步结果注入协议,deterministic simulation,IO完成顺序改变模拟,必须现在补
47,安全型与性能型AOI reason,fog-of-war vs distance,隐身实体因soft leave继续泄露,必须现在补
48,客户端表现重建合同,relevancy重进案例,粒子/UI/模型留残影或重复创建,可以推迟但要预留
49,热更新LogicVersion切点,脚本热更框架,同一日志跨代码版本无法重放,可以推迟但要预留（Manifest 必须现在补）
50,任意运行时反射式同步,部分早期框架依赖反射,AOT失败、热路径分配、难审计,明确可以不做；只保留编辑器反射
51,字段级通用undo,复杂事务系统,写屏障和逆操作覆盖不完整,明确可以不做；沿用整帧快照/日志
52,跨World裸对象引用,对象模型常见捷径,世界销毁/回滚后悬挂,明确可以不做
