格式,零拷贝直读,行级随机访问,列裁剪,Schema演进,Rust支持,C#支持及AOT/IL2CPP,WASM可用性,解码CPU成本,常驻内存,Canonical化,压缩配合度,可diff/review,工具链成熟度,已知产品/采用案例
JSON + JCS,"[E] 文本必须扫描/解析，不能在原始字节上按字段零拷贝；可用Utf8JsonReader减少中间字符串，但仍是解析。依据[S001,S092,S097]。",[E] 单一数组文件无索引时O(n)；必须另建ID→byte-range索引或一行一片。,[E] 不天然列裁剪；流式读取可跳过字段但仍需扫描语法。,[V] 自描述，新增未知字段可被宽容读取器忽略；删/改类型/默认值需应用层规则。[S001],[V] serde_json等成熟社区生态；JCS需专门实现或自写canonical writer。[S002],[V] System.Text.Json支持source generation，适合AOT；JCS需自定义canonical层。[S092],"[V] 无mmap依赖；浏览器可直接读取网络字节。大文件解析、UTF-16字符串膨胀是主要风险。[S089,S096]",[E] 高于紧凑二进制，成本来自UTF-8词法、数字解析、转义和分配。,[E] 若materialize为对象图最高；流式/按表解析可降低峰值。,"[V] RFC8785定义JCS，但仅覆盖I-JSON/IEEE754数值；字符串不自动Unicode归一化，需额外入口规范。[S002,S003]",[E] 文本重复度高，通用压缩效果通常好；整包压缩会破坏随机访问，需分块。,"[V] 原始JSON可读；JCS产物可读但格式化差。推荐review非canonical pretty镜像。[S001,S002]",[V] 极成熟；schema、生成器、lint工具多。,"[R] 游戏早期/诊断格式常见；Luban、xresloader均支持JSON输出，但公开商业规模数据不足。[S048,S050]"
JSON5,[E] 同JSON，需要解析。,[E] 同JSON，需外置索引。,[E] 不天然支持。,[E] 自描述但注释、尾逗号等不提供兼容协议；演进由应用层定义。[S004],[R] 多个社区解析器，质量不一。,[R] 社区库为主，AOT/裁剪能力逐库验证。,[V] 纯解析器可在WASM工作，无mmap依赖。,[E] 比严格JSON略高或相近。,[E] 通常materialize；与库实现有关。,[E] 规范未定义canonical编码；必须先归一到逻辑IR/JCS。,[E] 适合分块后压缩。,[V] 对人类编辑友好，注释收益高；机器间交换不宜依赖宽松语法。[S004],[R] 编辑/解析生态中等，跨语言一致性弱于JSON。,[R] 常作源文件/工具配置，公开大型游戏运行时案例不足。
YAML 1.2.2,[E] 语法复杂，必须解析；锚点/别名增加对象图语义。[S005],[E] 单文档无随机索引。,[E] 不天然支持。,[E] 自描述；schema演进完全由应用层，隐式类型/标签需严格profile。,[V] serde_yaml等社区实现；规范复杂导致实现差异需测试。,[R] YamlDotNet等社区库；反射、裁剪、AOT需显式验证。,[V] 纯托管/纯Rust解析可用；大文档启动与分配不利。,[E] 通常高于JSON。,[E] 对象图与字符串分配较高。,[E] 无通用canonical；锚点、映射顺序、标量表示使同值多编码。,[E] 压缩好，但需文件/块切分保持按需。,[V] 人读友好但缩进和隐式类型易制造review盲点。,[V] 通用DevOps生态成熟，游戏强类型生成链需另建。,[R] 常用于工具配置；作为大型游戏运行时表的公开证据薄。
TOML 1.1.0,[E] 必须解析。,[E] 单文件无主键索引。,[E] 不天然支持。,[E] 自描述；表/数组结构可演进，兼容规则由应用层。,[R] toml生态成熟。,[R] Tomlyn等社区库；AOT能力需验证。,[V] 无系统依赖，适合小型源配置。,[E] 文本解析成本。,[E] materialize后中等到高。,[E] 规范不定义canonical字节；需逻辑IR规范。,[E] 分文件/块压缩可行。,[V] 适合手写小型配置，超宽表/百万行不友好。,[V] 通用配置生态成熟，表格编辑/引用校验较弱。,[R] 工具/工程配置常见；大型游戏表案例不足。
CSV + CSVW,[E] 必须扫描分隔符/引号；可按行切片但字段仍需解析。[S007],[E] 可离线生成ID→文件偏移；换行/引号使随机定位必须基于已解析索引。,[E] 行式文件不天然；可按列拆文件。,[V] CSVW可外置列schema；纯CSV自身无类型与演进协议。[S008],[V] csv crate成熟。,[V] CsvHelper等成熟；sourcegen/AOT按库验证，也可自写简单reader。,[V] 容易在WASM使用。,[E] 低到中；数字/转义解析是成本。,[E] 解析成对象会膨胀；流式较低。,[E] RFC4180允许表示差异且方言众多；需固定方言、行序和数字格式。,[E] 文本压缩好；分表文件天然按需。,[V] 很强，但复杂嵌套/多行字段使diff变差。,[V] 极成熟；类型/引用/容器需schema工具补齐。,[V] Excel→CSV/TSV是经典中间路线；KSFramework等公开描述此流派。[S058]
MessagePack,[E] 顺序编码需解析到目标字段；可保留切片但不是表级零拷贝。[S009],[E] 默认无主键索引；按行block+偏移表可O(1)/O(log n)。,[E] 不天然列裁剪。,[E] 数组/映射可表达新增字段，但兼容规则和key策略由应用层。,[V] rmp/serde生态成熟。,[V] MessagePack-CSharp具source generator与AOT路径；Unity需按其AOT说明配置。[S010],[V] 纯托管可用；无mmap要求。,[E] 低到中，主要是变长整数、tag与对象构造。,[E] 紧凑字节低；若生成对象仍有托管膨胀。,[E] 规范允许map任意顺序、整数多种宽度；需自定义canonical profile。,[E] 已紧凑，仍可按独立块压缩；整包压缩破坏随机访问。,[E] 二进制不可直接review，需dump/语义diff。,"[V] 多语言成熟；游戏工具Luban/xresloader支持。[S048,S050]","[R] xresloader推荐协议二进制/MsgPack输出；具体商业项目未公开。[S050,S051]"
CBOR,[E] 需解析major type；可跳过但非结构内零拷贝。[S011],[E] 默认无ID索引；可加tag/索引层。,[E] 不天然。,[E] 自描述，应用层定义字段兼容；tag可扩展但跨语言支持不一。,[R] ciborium/serde_cbor等社区库。,[V] System.Formats.Cbor提供.NET实现；AOT风险较低但目标版本需实测。[S012],[V] 无mmap依赖。,[E] 低到中。,[E] 字节紧凑；对象materialize仍膨胀。,[V] RFC8949 §4.2给deterministic encoding，但应用还需定map key/Unicode/float策略。[S011],[E] 可块压缩；自身紧凑。,[E] 二进制，需诊断导出。,[V] 标准成熟，游戏专用生成/校验生态较弱。,[R] 广泛用于协议/IoT；公开游戏配表案例不足。
BSON 1.1,[E] 文档带长度可跳过，但字段访问仍扫描键，非表零拷贝。[S013],[E] 单文档/数组无主键索引；数据库层另说。,[E] 不天然。,[E] 自描述；字段兼容由应用层。,[R] bson crate/MongoDB生态。,[V] MongoDB.Bson成熟；AOT/trim需验证。,[E] 纯托管可用，但格式相对膨胀，不适合包体敏感首选。,[E] 中等，键名重复。,[E] 二进制本体较大，对象图更高。,[E] 元素有顺序但逻辑map顺序/数值类型仍需固定profile。,[E] 压缩收益可观；仍需分块。,[E] 需dump。,[V] MongoDB工具链成熟，游戏配表生态弱。,[R] 无有力公开游戏配表产品案例。
Protocol Buffers,[E] wire format需解析；未知字段保留/跳过，但不是随机字段零拷贝。[S014],[E] repeated rows默认线性；需显式生成key index或每行独立message。,[E] 行式message不天然列裁剪。,"[V] 字段号+presence规则成熟；不得重用tag，类型变更受限。[S015,S016,S017]",[V] prost/protobuf等成熟，官方跨语言规范。,[V] 官方C#生成器成熟；AOT通常可通过生成类型实现，反射descriptor/trim仍需测试。,[V] 可在.NET WASM使用，无mmap依赖。,[E] 低到中，varint和对象构造。,[E] wire紧凑；生成对象有明显膨胀。,[V] 官方明确“deterministic serialization不等于canonical”，跨语言/版本不可依赖原始字节Hash。[S018],[E] 可按message/块压缩；无内建seek table。,[E] .proto可review，data binary不可，需dump。,[V] 极成熟，多语言代码生成/校验生态强。,"[R] xresloader/Tableau等配表工具采用；命名商业游戏公开数据不足。[S050,S056]"
Apache Thrift,[E] 常用协议需要反序列化。,[E] 无表主键索引。,[E] 不天然。,[V] 字段ID、optional/required、union等提供演进基础；required演进风险大。[S031],[V] Rust实现存在，成熟度按实现。,[V] 官方/社区C#生成路径；AOT需生成代码与运行库实测。,[E] 理论可纯托管，实际包/运行库需验证。,[E] 低到中。,[E] 对象materialize。,[E] 协议未为配置Hash定义canonical。,[E] 外部分块压缩。,[E] IDL可review，data不可。,[V] RPC生态成熟，游戏配表工具生态弱。,[R] 无充分公开游戏配表案例。
