decision,candidates,recommended_tendency,experiment_before_freeze
支持范围,Java-only；Bedrock-only；双 edition,首版声明精确支持矩阵，Java 与 Bedrock 独立 adapter；不做“自动猜版本”,准备每个承诺 DataVersion/Bedrock storage epoch 的最小世界，跑 parser corpus。
源读取器,自研；嵌入第三方库；多 oracle,生产 adapter 自有边界，可复用成熟 NBT/LevelDB 库但不让其类型穿出；用第二实现作 oracle,同一 region/subchunk 由两个独立 reader 输出 normalized IR，比较差异。
中间表示,直接源→目标；统一语义 IR；保留源 opaque tree,选择版本化 IR，并可附 source opaque metadata；IR 不复制所有 NBT 标签,取 20 类复杂 block state/block entity，验证 source→IR→报告可定位每个损失。
方块 registry,直接映射目标 u32；字符串名；版本化 mapping artifact,稳定 semantic key + mappingSetId/hash + target local registry,改 mapping 一条规则后重跑同输入，确认 import identity/report变化且旧输出不被误复用。
未知方块,失败；空气；固定替代；MissingBlock+opaque,默认 MissingBlock/opaque 并计入 loss；严格模式 FailClosed；空气仅显式有损,构造未知 namespace/属性，验证位置与源 key 可提取并在补规则后重导恢复。
状态降维,丢全部属性；规则映射；邻域感知映射,规则逐属性声明 preserve/drop/derive；连接态等允许第二遍邻域处理,楼梯、门、红石/含水/朝向 corpus，逐块和渲染切片对照。
chunk 尺寸,同尺寸限定；split/merge；运行期代理,IR 使用世界坐标，不暴露源 chunk；目标 writer 按目标 page/chunk重分桶,跨负坐标与目标边界的结构，验证每 voxel 唯一落桶、无重复/遗漏。
高度/原点,裁剪；平移；扩展；分维度 profile,默认保持世界坐标，超范围 Fail/Report；允许用户显式平移或裁剪策略,导入 1.18 负Y、最高层、跨0结构，检查 block entity/entity坐标同步。
block entities,全丢；白名单转换；opaque存档,白名单语义转换；未知保存报告/可选opaque，不伪装功能可用,箱子、告示牌、命令/模组数据；验证 inventory/文本/未知字段政策。
动态 entities,全转；全丢；静态白名单,首版默认不进入地图主导入，独立 entity importer；静态装饰可白名单,与 Chunker 公布边界对照，导入前后按类型/UUID计数。
biome,丢；最近目标；保留 source palette,gameplay需要则显式映射；否则可丢但报告；1.18 3D biome按目标page重采样,在高度分层 biome 世界中比较采样点和分布直方图。
light/heightmap,原样转；丢弃重算；缓存转码,默认丢弃并由目标重算；只有冷启动实验表明必要才转为带 provenance cache,同一块比较重算结果、耗时与源缓存不一致场景。
structures/POI,完整语义转；只转已放置blocks；全丢,首版转已放置blocks，metadata/POI按能力表丢并报告；不继续Minecraft worldgen,村庄/要塞样本：视觉blocks保留，查询能力明确失败而非假成功。
玩家数据,合并主导入；单独导入；不支持,与地图工具分离，首版不导 player inventory/进度；输出明确边界,带playerdata世界转换，确认报告列出未转文件且目标无半迁移账号。
离线或按需,离线全量；按需首次访问；混合预热,首版离线全量、分区可恢复；按需只作为超大世界二期只读source adapter,在多GB代表样本上比较总时长、峰值内存、首块延迟、失败恢复与最终字节一致。
并行与确定性,单线程；任意并行；有序分区并行,并行 parse/transform，按 canonical spatial key 外部排序/确定写；禁止完成顺序影响palette/offset,1/2/N线程两端各跑两次，比较整个manifest/page bytes与report排序。
部分失败,首错中止；跳过坏chunk；staging部分激活,坏chunk可隔离继续扫描，但整世界默认不激活；用户可显式生成有损副本,注入截断/重叠sector/坏NBT，确认旧目标不变、报告坐标准确、重跑幂等。
验证,只验证可解析；统计；逐块语义/可视化,全量结构/hash/coverage，逐块IR统计；代表区域可视化；loss预算 gate,源/目标坐标hash map、palette分布、切片图和随机采样查询。
激活,直接写目标；临时目录rename；版本指针,immutable source→staging→全局校验→原子version pointer；保留source/import evidence,在每个write/fsync/activation点kill，恢复必须保持旧世界或完整新世界。
反向导出,承诺双向；实验性；不做,首版明确不做；保留IR/provenance为未来研究输入,选目标特有block/overlay/负坐标样本评估必然损失，未达产品门槛不开放。
