枚举名,序号,声明行(DataChannel.h),处理函数:行,方向,载荷字段(序列化顺序),置信度
NMT_Hello,0,Engine/Source/Runtime/Engine/Public/Net/DataChannel.h:173,UWorld::NotifyControlMessage World.cpp:7369 / AOnlineBeaconHost::HandleControlMessage OnlineBeaconHost.cpp:177,客户端→服务器,"uint8 IsLittleEndian; uint32 NetworkVersion; FString EncryptionToken; EEngineNetworkRuntimeFeatures NetworkFeatures",Verified-Src
NMT_Welcome,1,DataChannel.h:174,UPendingNetGame::NotifyControlMessage PendingNetGame.cpp:369,服务器→客户端,"FString URL.Map/LevelName; FString GameName; FString RedirectURL",Verified-Src
NMT_Upgrade,2,DataChannel.h:175,UPendingNetGame PendingNetGame.cpp:254 / OnlineBeaconClient.cpp:529,服务器→客户端,"uint32 NetworkVersion; EEngineNetworkRuntimeFeatures",Verified-Src
NMT_Challenge,3,DataChannel.h:176,UPendingNetGame PendingNetGame.cpp:306 / OnlineBeaconClient.cpp:433,服务器→客户端,FString Challenge,Verified-Src
NMT_Netspeed,4,DataChannel.h:177,UWorld World.cpp:7465 / OnlineBeaconHost.cpp:334,客户端→服务器,int32 Rate/CurrentNetSpeed,Verified-Src
NMT_Login,5,DataChannel.h:178,UWorld World.cpp:7485 / OnlineBeaconHost.cpp:263,客户端→服务器,"FString ClientResponse; FString RequestURL/URLString; FUniqueNetIdRepl PlayerId; FString OnlinePlatformName（ArMaxSerializeSize 临时+16MB World.cpp:7492-7498）",Verified-Src
NMT_Failure,6,DataChannel.h:179,UWorld客户端分支 World.cpp:7275 / UPendingNetGame PendingNetGame.cpp:277 / OnlineBeaconClient.cpp:552,服务器→客户端,FString ErrorMsg,Verified-Src
NMT_Join,9,DataChannel.h:180,UWorld World.cpp:7571,客户端→服务器,无（零参数）,Verified-Src
NMT_JoinSplit,10,DataChannel.h:181,UWorld World.cpp:7637,客户端→服务器,"FString SplitRequestURL; FUniqueNetIdRepl SplitRequestUniqueIdRepl",Verified-Src
NMT_Skip,12,DataChannel.h:182,UWorld World.cpp:7481（空case）/ Discard DataChannel.cpp:2075,客户端→服务器（按头注释）,FGuid（引擎内未发现发送点）,Verified-Src
NMT_Abort,13,DataChannel.h:183,UWorld World.cpp:7477（空case）/ Discard DataChannel.cpp:2078,客户端→服务器（按头注释）,FGuid（引擎内未发现发送点）,Verified-Src
NMT_PCSwap,15,DataChannel.h:184,UWorld World.cpp:7786,客户端→服务器,int32 ChildIndex/Index,Verified-Src
NMT_ActorChannelFailure,16,DataChannel.h:185,UControlChannel::ReceivedBunch DataChannel.cpp:1851,客户端→服务器,int32 ChannelIndex,Verified-Src
NMT_DebugText,17,DataChannel.h:186,UWorld 双侧 World.cpp:7304/7813,双向,FString Text,Verified-Src
NMT_NetGUIDAssign,18,DataChannel.h:187,UWorld客户端 World.cpp:7318 / UPendingNetGame PendingNetGame.cpp:409,服务器→客户端,"FNetworkGUID NetGUID; FString Path（发送点未核实 疑在游戏侧）",Verified-Src
NMT_SecurityViolation,19,DataChannel.h:188,UControlChannel::ReceivedBunch DataChannel.cpp:1932,服务器→客户端,"FString SecurityPrint; FString DebugMessage（发送宏 LogMacros.h:393-395）",Verified-Src
NMT_GameSpecific,20,DataChannel.h:189,UControlChannel::ReceivedBunch DataChannel.cpp:1905 → UGameInstance::HandleGameNetControlMessage:1928,双向,"uint8 MessageByte; FString MessageStr（引擎内无发送点 供游戏使用）",Verified-Src
NMT_EncryptionAck,21,DataChannel.h:190,UPendingNetGame PendingNetGame.cpp:421 / OnlineBeaconClient.cpp:407,服务器→客户端,无（零参数）,Verified-Src
NMT_DestructionInfo,22,DataChannel.h:191,UControlChannel::ReceivedBunch DataChannel.cpp:1941 → ReceiveDestructionInfo:2328,服务器→客户端,"uint8 MessageType; EChannelCloseReason Reason; PackageMap 序列化对象（手工组包 DataChannel.cpp:2304-2321 不走模板宏）",Verified-Src
NMT_CloseReason,23,DataChannel.h:192,UControlChannel::ReceivedBunch DataChannel.cpp:1953,双向,FString CloseReasonList/CloseReasonsStr,Verified-Src
NMT_NetPing,24,DataChannel.h:193,UControlChannel::ReceivedBunch DataChannel.cpp:1962 → FNetPing::HandleNetPingControlMessage,双向,"ENetPingControlMessage MessageType; FString MessageStr",Verified-Src
NMT_BeaconWelcome,25,DataChannel.h:213,AOnlineBeaconClient OnlineBeaconClient.cpp:471,服务器→客户端,无（零参数）,Verified-Src
NMT_BeaconJoin,26,DataChannel.h:214,AOnlineBeaconHost OnlineBeaconHost.cpp:357,客户端→服务器,"FString BeaconType; FUniqueNetIdRepl UniqueId",Verified-Src
NMT_BeaconAssignGUID,27,DataChannel.h:215,AOnlineBeaconClient OnlineBeaconClient.cpp:490,服务器→客户端,UE::Net::FNetIDVariant NetID,Verified-Src
NMT_BeaconNetGUIDAck,28,DataChannel.h:216,AOnlineBeaconHost OnlineBeaconHost.cpp:466,客户端→服务器,FString BeaconType,Verified-Src
NMT_IrisProtocolMismatch,29,DataChannel.h:218,DataChannel.cpp:1985 → UReplicationSystem::ReportProtocolMismatch,客户端→服务器,uint64 NetRefHandleId/RawHandleId（发送 EngineReplicationBridge.cpp:1154）,Verified-Src
NMT_IrisNetRefHandleError,30,DataChannel.h:219,DataChannel.cpp:1996,服务器→客户端,"ENetRefHandleError; uint64 NetRefHandleId; TArray<uint64> ExtraNetRefs（发送 EngineReplicationBridge.cpp:1217）",Verified-Src
NMT_JoinNoPawn,31,DataChannel.h:233,UWorld World.cpp:7698,客户端→服务器,无（零参数）,Verified-Src
NMT_JoinNoPawnSplit,32,DataChannel.h:234,UWorld World.cpp:7734,客户端→服务器,"FString SplitRequestURL; FUniqueNetIdRepl UniqueIdRepl",Verified-Src
NMT_CloseChildConnection,34,DataChannel.h:242,UWorld 双侧 World.cpp:7255/7350,双向,int32 NetPlayerIndexToClose（发送 UChildConnection::CloseAndRemoveChild NetConnection.cpp:1568）,Verified-Src
NMT_IrisNetRefHandleErrorWithDiagnosticMessage,35,DataChannel.h:245,DataChannel.cpp:2009,服务器→客户端,"ENetRefHandleError; uint64 NetRefHandleId; TArray<uint64> ExtraNetRefs; FString DiagnosticMessage（发送 EngineReplicationBridge.cpp:1221）",Verified-Src
NMT_IrisProtocolMismatchWithCDOState,36,DataChannel.h:248,DataChannel.cpp:1973,客户端→服务器,"uint64 NetRefHandleId; TArray<uint8> ClientCDOStateBytes（发送 EngineReplicationBridge.cpp:1149）",Verified-Src
（未定义序号）,7/8/11/14/33,-,序号空洞（本版本无 NMT_* 占用）,-,-,Verified-Src
